predicted_position,tokenizer,registry_name,family,calibration_model,mean_domain_rank,caption_loss,reasoning_loss,caption_rank,reasoning_rank,caption_real_minus_shuffled,reasoning_real_minus_shuffled,caption_real_minus_zero,reasoning_real_minus_zero,qwen2_5,mllm_position,position_error
1,siglip2_g16_384,siglip2_g16_384,siglip2,False,3.5,2.1601044088602066,0.904978129081428,1.0,6.0,-1.2979773916304111,-0.020891485270112753,-1.5667603872716427,-0.5327900089323521,54.25,6,-5
2,siglip2_b16_512,siglip2_b16_512,siglip2,False,7.0,2.2002976574003696,0.9250036468729377,7.0,7.0,-1.1943252757191658,-0.019555020611733198,-1.4561365097761154,-0.3472018362954259,50.16,20,-18
3,siglip2_l16_256,siglip2_l16_256,siglip2,False,8.0,2.1995959021151066,0.9675036203116179,6.0,10.0,-1.1500666439533234,-0.019193883053958416,-1.5674297623336315,-0.6572736399248242,50.76,18,-15
4,pe_lang_g14_448_tiling,pe_lang_g14_448_tiling,pe_lang,False,8.5,2.2640519440174103,0.8619499648921192,13.0,4.0,-0.927032757550478,-0.005046450067311525,-1.3923822231590748,-0.4102555182762444,56.03,2,2
5,siglip2_sm14_384,siglip2_sm14_384,siglip2,False,11.0,2.160209648311138,1.080817315261811,2.0,20.0,-1.2317757867276669,-0.016060757916420698,-1.4924871772527695,-0.273556690197438,54.49,4,1
6,siglip2_l16_384,siglip2_l16_384,siglip2,False,13.5,2.1942481826990843,1.1964983502402902,3.0,24.0,-1.1920434404164553,-0.027418770827353,-1.532616613432765,-0.24126978777348995,53.01,10,-4
7,mc2_m16_384,mc2_m16_384,mc2,False,18.0,2.3722073175013065,0.891764176543802,31.0,5.0,-0.8020863570272923,-0.020403319504112005,-1.3546574786305428,-0.5460039614699781,44.79,36,-29
8,toklip_s_256,toklip_s_256,toklip,False,18.5,2.2862743884325027,1.162929906975478,15.0,22.0,-1.065207578241825,-0.001314905472099781,-1.4807512760162354,-0.46184735326096416,40.76,60,-52
9,siglip2_b16_384,siglip2_b16_384,siglip2,False,19.0,2.2221446484327316,1.2412191634066403,9.0,29.0,-1.1435858681797981,-0.009300409816205502,-1.5047201476991177,-0.19654897460713983,50.5,19,-10
10,siglip2_g16_256,siglip2_g16_256,siglip2,False,19.5,2.1963147781789303,1.2935076369903982,5.0,34.0,-1.1166125126183033,-0.01296061696484685,-1.5707108862698078,-0.3312696232460439,53.87,7,3
11,eupe_convnext_s,eupe_convnext_s,eupe,False,23.5,2.3779378850013018,0.9945154883898795,33.0,14.0,-0.7124755624681711,0.02755811484530568,-1.2597893606871367,-0.8416148577816784,43.51,43,-32
12,siglip2_b16_256,siglip2_b16_256,siglip2,True,23.5,2.4158793333917856,0.8150895196013153,44.0,3.0,-0.6561897825449705,-0.0023955409415066242,-1.3511463310569525,-0.8096877406351268,47.62,27,-15
13,clip_openai__l14,clip_openai__l14,clip,False,24.0,2.3098012153059244,1.240581070072949,20.0,28.0,-0.8133375998586416,-0.012568180914968252,-1.4572244491428137,-0.38419619016349316,49.76,22,-9
14,dinov2_large,dinov2_large,dinov2,False,26.0,2.414838809520006,0.9425810957327485,43.0,9.0,-0.6331477127969265,-0.00958713237196207,-1.352186854928732,-0.6821961645036936,43.08,46,-32
15,pe_core_l14_336,pe_core_l14_336,pe_core,False,26.0,2.203088765963912,1.4041206408292055,8.0,44.0,-1.119841868057847,-0.015966374427080154,-1.5237760301679373,-0.033647497184574604,51.93,12,3
16,vilau_256,vilau_256,vilau,False,27.5,2.28881823271513,1.3501761863008142,16.0,39.0,-1.0504097416996956,0.002823389135301113,-1.4782074317336082,-0.27460107393562794,40.53,61,-45
17,eupe_convnext_b,eupe_convnext_b,eupe,False,28.0,2.2433831077069044,1.4058234225958586,11.0,45.0,-1.0379179995507002,0.009595671202987432,-1.394344137981534,-0.43030692357569933,44.04,40,-23
18,siglip2_sm16_256,siglip2_sm16_256,siglip2,False,28.0,2.3850774355232716,1.0613386640325189,37.0,19.0,-0.6684132069349289,-0.025439815130084753,-1.3819482289254665,-0.5634385962039232,51.4,14,4
19,siglip2_sm16_512,siglip2_sm16_512,siglip2,False,28.0,2.367534078657627,1.2388254054822028,29.0,27.0,-0.6938053835183382,0.01150075625628233,-1.288900088518858,-0.0333800776861608,54.97,3,16
20,dinov3,dinov3,dinov3,False,30.5,2.3076988011598587,1.3876291569322348,19.0,42.0,-0.970275741070509,-0.012908979784697294,-1.4593268632888794,-0.23714810330420732,36.88,65,-45
21,pe_lang_g14_448,pe_lang_g14_448,pe_lang,True,30.5,2.300143536180258,1.4026161986403167,18.0,43.0,-0.9775891676545143,-0.015556856524199247,-1.3562906309962273,0.13041071547195315,58.03,1,20
22,mc2_g14_224,mc2_g14_224,mc2,False,31.5,2.4287129808217287,0.9948785495944321,48.0,15.0,-0.5951487999409437,0.012674650643020868,-1.3383126836270094,-0.62989871064201,50.77,17,5
23,mc2_l14_224,mc2_l14_224,mc2,False,31.5,2.349243091419339,1.3186594196595252,26.0,37.0,-0.8847357835620642,0.00932246819138527,-1.417782573029399,-0.30611784057691693,49.46,23,0
24,mc2_s16_224_mt5,mc2_s16_224_mt5,mc2,False,31.5,2.3242353089153767,1.3792284242808819,23.0,40.0,-0.8421649970114231,0.0010540960356593132,-1.3759258762001991,-0.2818954810500145,41.35,53,-29
25,siglip2_sm14_224,siglip2_sm14_224,siglip2,False,33.0,2.1954453587532043,1.5796664766967297,4.0,62.0,-1.225949790328741,-0.012818193063139915,-1.5715803056955338,-0.04511078353971243,53.02,9,16
26,RAE v2,raev2,raev2,True,34.0,2.4322477374225855,1.0608463496901095,50.0,18.0,-0.6561035085469484,0.011338868644088507,-1.3347779270261526,-0.5639309105463326,36.26,68,-42
27,dinov2_giant,dinov2_giant,dinov2,False,35.5,2.4031234215945005,1.2453184430487454,41.0,30.0,-0.7414791453629732,-0.05687517859041691,-1.3639022428542376,-0.3794588171876967,44.42,39,-12
28,mc2_b16_384,mc2_b16_384,mc2,False,37.0,2.3874610625207424,1.3075573830865324,39.0,35.0,-0.7330122925341129,-0.025912566110491753,-1.3394037336111069,-0.13021075492724776,46.85,29,-1
29,mc2_s16_224,mc2_s16_224,mc2,False,37.0,2.5639504492282867,0.6052180489059538,73.0,1.0,-0.35355857759714127,0.013334533898159862,-1.136210735887289,-1.0559058564249426,41.05,57,-28
30,siglip2_b16_224,siglip2_b16_224,siglip2,False,37.5,2.239805355668068,1.6469306712970138,10.0,65.0,-1.096401832997799,-0.015762753784656525,-1.4603558294475079,-0.014193234033882618,47.83,26,4
31,mc2_b32_224,mc2_b32_224,mc2,False,38.0,2.368817428126931,1.4178132265806198,30.0,46.0,-0.7238299753516912,0.01033034734427929,-1.2842517662793398,-0.44580454751849174,41.35,54,-23
