name,family,MLLM_Avg,qwen3,qwen2_5,smollm2,probe_epoch1,retrieval-ImageNet,CKA,pretrain_loss,A_score
pe_lang_g14_448,,58.03,,58.03,,74.61,,,,-2.15
pe_lang_g14_448_tiling,,56.03,,56.03,,76.68,,,,-2.15
siglip2_sm16_512,,54.97,52.51,54.97,42.37,86.65,84.3,48.13,2.4648,-2.15
siglip2_sm14_384,,54.49,54.06,54.49,45.57,86.58,84.1,53.46,2.3977,-2.10
siglip2_l16_512,,54.47,39.19,54.47,,85.82,83.5,50.4,2.4438,-2.16
siglip2_g16_384,,54.25,54.56,54.25,42.97,87.53,85,51.15,2.3815,-2.12
siglip2_g16_256,,53.87,51.02,53.87,43.75,86.96,84.4,53.24,2.3646,-2.12
siglip2_sm16_384,,53.12,51.75,53.12,44.08,86.32,84.2,54.1,2.4232,-2.16
siglip2_sm14_224,,53.02,49.12,53.02,42.81,85.94,83.2,50.75,2.3835,-2.08
siglip2_l16_384,,53.01,52.56,53.01,45.86,85.82,83.2,43.69,2.4546,-2.16
mc2_g14_378,,52.56,47.08,52.56,45.93,86.64,83.5,48.69,2.5671,-2.35
pe_core_l14_336,,51.93,,51.93,,86.35,,,,-2.37
pe_core_g14_448,,51.88,,51.88,42.41,88.22,,,,-2.33
siglip2_sm16_256,,51.4,49.12,51.4,41.94,86.03,83.3,50.84,2.4024,-2.09
mc1_h14_224_v1.2,,51.16,48.67,51.16,39.42,85.64,82,46.58,2.4454,-2.31
mc2_h14_378,,50.89,40.52,50.89,,85.96,82.3,48.08,2.6415,-2.33
mc2_g14_224,,50.77,48.84,50.77,40.9,85.72,82.6,48.47,2.4549,-2.32
siglip2_l16_256,,50.76,49.09,50.76,42.35,85.16,82.4,41.64,2.4482,-2.14
siglip2_b16_384,,50.5,42.53,50.5,,82.66,80.6,47.04,2.4706,-2.21
siglip2_b16_512,,50.16,48.51,50.16,40.72,83.13,81.3,46.89,2.5136,-2.23
mc1_g14_224_2.5b,,49.86,47.7,49.86,43.19,85.13,82.1,47.96,2.5197,-2.34
clip_openai__l14,,49.76,47.83,49.76,40.51,82.49,75.4,44.45,2.5431,-2.41
mc2_l14_224,,49.46,40.43,49.46,41.39,84,79.2,46.37,2.4668,-2.33
mc1_h14_224_2.5b,,48.92,46.4,48.92,,83.77,80.5,47.53,2.5947,-2.39
mc1_l14_224_2.5b,,48.78,46.08,48.78,40.68,82.6,79.2,46.98,2.5503,-2.37
siglip2_b16_224,,47.83,46.6,47.83,,81.12,78.5,47.89,2.458,-2.15
siglip2_b16_256,,47.62,46.91,47.62,39.2,81.61,79.3,46.77,2.4604,-2.12
mc1_l14_224_400m,,47.08,45.89,47.08,,81.44,76.2,43.99,2.5816,-2.34
mc2_b16_384,,46.85,44.29,46.85,,80.21,73,44.96,2.6012,-2.44
pixio_vit1b16,,46.05,,46.05,,74.21,,,,-2.36
pixio_vitl16,,45.95,,45.95,34.57,73.81,,,,-2.45
pe_core_b16_224,,45.91,,45.91,35.77,81.45,,,,-2.39
pe_lang_l14_448,,45.62,,45.62,42.48,75.11,,,,
mc2_b16_224,,45.56,43.65,45.56,,78.65,71.4,44.64,2.5582,-2.42
siglip2_b32_256,,45.23,42.5,45.23,,76.9,73.9,43.43,2.5376,-2.26
