name,d,test_image_to_text_mean_rank,test_image_to_text_median_rank,test_image_to_text_R@1,test_image_to_text_R@5,test_image_to_text_R@10,test_text_to_image_mean_rank,test_text_to_image_median_rank,test_text_to_image_R@1,test_text_to_image_R@5,test_text_to_image_R@10,test_positive_accuracy,test_negative_accuracy,val_selector,best_lr,best_epoch
dinov2_large,1024,23.88341543513957,6.0,0.1814449917898193,0.4712643678160919,0.6395730706075534,25.44334975369458,6.0,0.1978653530377668,0.4827586206896552,0.6518883415435139,0.994252860546112,0.5361092686653137,0.2045,0.0001,200
pe_lang_g14_448,1536,22.408866995073893,4.0,0.2389162561576354,0.5673234811165846,0.7208538587848933,23.251231527093594,4.0,0.2660098522167488,0.5796387520525451,0.7298850574712644,0.994252860546112,0.555686891078949,0.288,0.0003,120
I-JEPA,1280,34.441707717569784,9.0,0.119047619047619,0.367816091954023,0.5229885057471264,35.33497536945813,10.0,0.1198686371100164,0.3620689655172414,0.5139573070607554,0.9975369572639464,0.5198238492012024,0.137,0.0001,120
clip_openai__l14,1024,24.715927750410508,6.0,0.1748768472906404,0.4573070607553366,0.6272577996715928,26.245484400656814,6.0,0.1871921182266009,0.4688013136288998,0.6231527093596059,0.9967159032821656,0.5420560836791992,0.205,0.0003,100
dino_vitb16,768,46.49753694581281,15.0,0.0911330049261083,0.2750410509031198,0.4228243021346469,49.33497536945813,16.0,0.0894909688013136,0.2914614121510673,0.4137931034482758,0.9950739145278932,0.5178579688072205,0.1139999999999999,0.0003,80
dino_vitb8,768,35.14367816091954,11.0,0.1075533661740558,0.3037766830870279,0.473727422003284,38.106732348111656,12.0,0.0911330049261083,0.2996715927750411,0.4646962233169129,0.9975369572639464,0.4744249880313873,0.1075,0.0001,120
dino_vits16,384,56.90147783251231,19.0,0.0591133004926108,0.2118226600985221,0.3505747126436782,58.38669950738916,20.0,0.0714285714285714,0.2151067323481116,0.3448275862068966,0.9991790056228638,0.4357217848300934,0.075,0.0001,160
dino_vits8,384,42.73645320197044,14.0,0.0886699507389162,0.2791461412151067,0.4170771756978653,45.88423645320197,14.0,0.0755336617405583,0.2742200328407225,0.409688013136289,0.9983579516410828,0.509519636631012,0.1025,0.0003,80
dinov2_base,768,20.49671592775041,6.0,0.1773399014778325,0.4745484400656814,0.6428571428571429,21.8752052545156,6.0,0.2003284072249589,0.4589490968801313,0.638752052545156,0.9983579516410828,0.5363872051239014,0.201,0.0001,140
dinov2_giant,1536,25.06568144499179,6.0,0.180623973727422,0.4794745484400657,0.6444991789819376,26.2807881773399,6.0,0.2011494252873563,0.4679802955665024,0.6371100164203612,0.9950739145278932,0.5360404849052429,0.2095,0.0001,180
dinov2_small,384,21.41871921182266,7.0,0.1592775041050903,0.4417077175697865,0.6149425287356322,22.392446633825944,7.0,0.1863711001642036,0.4622331691297208,0.6239737274220033,0.9991790056228638,0.5267468094825745,0.179,0.0001,120
dinov3,1024,22.142857142857142,6.0,0.1781609195402299,0.4696223316912972,0.6600985221674877,23.03366174055829,6.0,0.1929392446633825,0.4712643678160919,0.6502463054187192,0.9975369572639464,0.5347060561180115,0.2155,0.0001,200
dinov3_vitb16,768,20.15024630541872,6.0,0.1847290640394088,0.486863711001642,0.638752052545156,21.30870279146141,6.0,0.1830870279146141,0.4761904761904761,0.6444991789819376,0.9983579516410828,0.5383611917495728,0.195,0.0001,120
dinov3_vitl16,1024,20.59523809523809,6.0,0.1904761904761904,0.4860426929392447,0.6518883415435139,21.742200328407225,6.0,0.1986863711001642,0.4819376026272578,0.6592775041050903,0.9991790056228638,0.5406488180160522,0.2215,0.0001,140
dinov3_vits16,384,21.979474548440063,7.0,0.160919540229885,0.4318555008210181,0.583743842364532,23.233169129720853,7.0,0.1658456486042692,0.4105090311986863,0.5845648604269293,0.9983579516410828,0.5271286964416504,0.174,0.0001,120
eupe_convnext_b,1024,15.994252873563218,5.0,0.2422003284072249,0.5459770114942529,0.7208538587848933,17.23152709359606,4.0,0.2438423645320197,0.5689655172413793,0.7315270935960592,1.0,0.5598263740539551,0.2744999999999999,0.0001,120
eupe_convnext_s,768,15.63054187192118,4.0,0.2348111658456486,0.548440065681445,0.7036124794745484,16.62807881773399,4.0,0.2372742200328407,0.5788177339901478,0.7257799671592775,0.9983579516410828,0.5573012828826904,0.272,0.0001,160
eupe_convnext_t,768,17.51559934318555,6.0,0.2003284072249589,0.493431855500821,0.6510673234811166,18.54351395730706,5.0,0.2118226600985221,0.5188834154351396,0.6880131362889984,0.9991790056228638,0.5654999613761902,0.2289999999999999,0.0001,100
eupe_vit_b,768,15.194581280788178,4.0,0.2553366174055829,0.5648604269293924,0.7339901477832512,16.361247947454842,4.0,0.2545155993431856,0.5747126436781609,0.735632183908046,0.9983579516410828,0.5683738589286804,0.284,0.0003,60
eupe_vit_s,384,17.49014778325123,5.0,0.2249589490968801,0.5246305418719212,0.6830870279146142,18.41543513957307,5.0,0.2274220032840722,0.5344827586206896,0.6863711001642037,0.9975369572639464,0.5562906861305237,0.2455,0.0003,60
eupe_vit_t,192,22.761904761904763,7.0,0.1699507389162561,0.4392446633825944,0.5927750410509032,23.97454844006568,7.0,0.1789819376026272,0.4540229885057471,0.5985221674876847,0.9967159032821656,0.5689594745635986,0.187,0.0003,60
mc1_b16_224_2.5b,768,31.43431855500821,8.0,0.1715927750410509,0.4178981937602627,0.5722495894909688,31.01888341543514,7.0,0.1650246305418719,0.4261083743842364,0.5779967159277504,0.9958949089050292,0.5329554080963135,0.185,0.0003,180
mc1_b16_224_400m,768,23.621510673234813,7.0,0.154351395730706,0.4220032840722496,0.5829228243021346,25.119868637110017,8.0,0.1633825944170771,0.4228243021346469,0.5730706075533661,0.9983579516410828,0.531923234462738,0.1985,0.0001,160
mc1_b32_224_2.5b,768,28.277504105090312,9.0,0.119047619047619,0.3916256157635468,0.5451559934318555,29.323481116584563,9.0,0.1477832512315271,0.3809523809523809,0.5328407224958949,0.9983579516410828,0.5832331776618958,0.163,0.0003,80
mc1_b32_224_400m,768,35.50164203612479,10.0,0.1297208538587849,0.3645320197044335,0.5024630541871922,36.791461412151065,9.0,0.1198686371100164,0.3669950738916256,0.5287356321839081,0.9934318661689758,0.5415771007537842,0.151,0.0003,100
mc1_g14_224_2.5b,1664,18.24055829228243,6.0,0.2036124794745484,0.4991789819376026,0.6658456486042693,19.79392446633826,6.0,0.1904761904761904,0.4901477832512315,0.6510673234811166,0.9991790056228638,0.5374909043312073,0.22,0.0001,200
mc1_h14_224_2.5b,1280,17.91543513957307,6.0,0.1781609195402299,0.4630541871921182,0.6502463054187192,19.220032840722496,6.0,0.1814449917898193,0.4663382594417077,0.6297208538587848,0.9991790056228638,0.5242918729782104,0.192,0.0001,180
mc1_h14_224_v1.2,1280,23.6871921182266,7.0,0.1756978653530377,0.451559934318555,0.6223316912972086,25.29720853858785,7.0,0.1748768472906404,0.4441707717569786,0.5993431855500821,0.9967159032821656,0.5276373624801636,0.203,0.0001,160
mc1_l14_224_2.5b,1024,21.038587848932675,6.0,0.1871921182266009,0.4860426929392447,0.6477832512315271,22.710180623973727,5.0,0.1937602627257799,0.5008210180623974,0.645320197044335,0.9991790056228638,0.5465801358222961,0.2314999999999999,0.0001,200
mc1_l14_224_400m,1024,19.704433497536947,6.0,0.1888341543513957,0.4893267651888341,0.6584564860426929,21.55090311986864,6.0,0.1978653530377668,0.4950738916256157,0.6551724137931034,0.9983579516410828,0.5350797772407532,0.2345,0.0001,160
mc2_b16_224,768,38.894909688013136,9.0,0.1379310344827586,0.3908045977011494,0.5558292282430214,38.74794745484401,9.0,0.1486042692939244,0.4022988505747126,0.5517241379310345,0.9901477694511414,0.5231834650039673,0.1709999999999999,0.0003,200
mc2_b16_384,768,25.914614121510677,9.0,0.1477832512315271,0.3973727422003284,0.5517241379310345,27.372742200328407,8.0,0.154351395730706,0.4129720853858785,0.5665024630541872,0.9983579516410828,0.5268149971961975,0.169,0.0001,140
mc2_b32_224,768,31.76518883415435,10.0,0.1231527093596059,0.3390804597701149,0.5082101806239737,32.83825944170772,10.0,0.1198686371100164,0.3587848932676519,0.5197044334975369,0.9975369572639464,0.5223833918571472,0.1575,0.0001,200
mc2_b32_224_mt5,768,29.8128078817734,9.0,0.1346469622331691,0.3875205254515599,0.548440065681445,31.480295566502463,9.0,0.1436781609195402,0.3784893267651888,0.5262725779967159,0.9983579516410828,0.5177426338195801,0.1669999999999999,0.0001,140
mc2_b32_384,768,31.24876847290641,10.0,0.119047619047619,0.3489326765188834,0.5057471264367817,32.453201970443345,10.0,0.119047619047619,0.3637110016420361,0.5279146141215106,0.9983579516410828,0.5101962685585022,0.1505,0.0001,120
mc2_g14_224,1664,17.99343185550082,5.0,0.2298850574712643,0.535303776683087,0.7011494252873564,20.10837438423645,5.0,0.229064039408867,0.5311986863711001,0.69376026272578,0.9983579516410828,0.5444611310958862,0.2625,0.0001,140
mc2_g14_378,1664,18.20607553366174,5.0,0.2397372742200328,0.5500821018062397,0.7027914614121511,20.148604269293923,5.0,0.2348111658456486,0.5385878489326765,0.6954022988505747,0.9958949089050292,0.5529236197471619,0.272,0.0003,80
mc2_h14_378,1280,37.605090311986864,7.0,0.167487684729064,0.4220032840722496,0.5853858784893268,39.05172413793103,8.0,0.1600985221674876,0.4285714285714285,0.5747126436781609,0.988505721092224,0.5272852182388306,0.199,0.0003,100
mc2_l14_224,1024,30.088669950738915,7.0,0.1756978653530377,0.4326765188834154,0.5821018062397373,31.30788177339901,7.0,0.1469622331691297,0.4236453201970443,0.5919540229885057,0.994252860546112,0.5426167249679565,0.1965,0.0003,60
mc2_m16_224,512,27.54515599343185,9.0,0.1379310344827586,0.3809523809523809,0.5435139573070608,28.477011494252874,8.0,0.1371100164203612,0.3981937602627258,0.5574712643678161,0.9991790056228638,0.5236779451370239,0.164,0.0001,160
mc2_m16_224_mt5,512,26.97372742200328,9.0,0.1444991789819376,0.3842364532019704,0.5509031198686372,28.08128078817734,8.0,0.1412151067323481,0.3990147783251231,0.555008210180624,0.9983579516410828,0.5407978892326355,0.1595,0.0003,80
mc2_m16_384,512,37.47701149425287,10.0,0.125615763546798,0.3669950738916256,0.5311986863711001,37.62151067323481,9.0,0.1338259441707717,0.3768472906403941,0.5517241379310345,0.9934318661689758,0.5302602648735046,0.157,0.0003,100
mc2_s16_224,384,28.81937602627258,9.0,0.1174055829228243,0.3752052545155993,0.5229885057471264,29.536945812807883,9.0,0.1313628899835796,0.3793103448275862,0.5377668308702791,0.9983579516410828,0.5406333208084106,0.164,0.0003,100
mc2_s16_224_mt5,384,29.992610837438423,9.0,0.1288998357963875,0.3711001642036124,0.5402298850574713,31.15927750410509,9.0,0.1379310344827586,0.3669950738916256,0.5377668308702791,0.9967159032821656,0.5330060124397278,0.166,0.0003,60
mc2_s16_384,384,27.753694581280783,9.0,0.1330049261083744,0.3875205254515599,0.5303776683087028,28.88341543513957,9.0,0.1247947454844006,0.3752052545155993,0.5517241379310345,0.9975369572639464,0.5419265627861023,0.172,0.0003,100
pe_core_b16_224,768,46.310344827586206,8.0,0.1625615763546798,0.4203612479474548,0.5648604269293924,45.78981937602627,8.0,0.1715927750410509,0.4146141215106732,0.5747126436781609,0.9844006299972534,0.5531691908836365,0.185,0.0003,120
pe_core_g14_448,1536,23.25615763546798,5.0,0.2134646962233169,0.5139573070607554,0.6798029556650246,24.30295566502463,5.0,0.2241379310344827,0.5402298850574713,0.6929392446633826,0.9934318661689758,0.6448533535003662,0.241,0.0003,140
pe_core_l14_336,1024,24.3440065681445,6.0,0.20935960591133,0.4917898193760263,0.6789819376026273,25.460591133004925,5.0,0.1995073891625615,0.5155993431855501,0.6683087027914614,0.9926108121871948,0.5930428504943848,0.2234999999999999,0.0003,80
pe_core_s16_384,384,42.36863711001642,12.0,0.1141215106732348,0.3292282430213464,0.4745484400656814,42.37931034482759,11.0,0.1297208538587849,0.3464696223316913,0.4917898193760263,0.9934318661689758,0.5735408067703247,0.146,0.0003,160
pe_core_t16_384,192,49.743021346469625,16.0,0.0894909688013136,0.2717569786535304,0.4047619047619047,49.920361247947454,14.0,0.0952380952380952,0.2824302134646962,0.4318555008210181,0.9967159032821656,0.5527482032775879,0.1139999999999999,0.0003,140
