name,r2_n100,r2_n250,r2_n600,r2_n1500,r2_n2400,sat_250_2400,sat_600_2400
I-JEPA,0.08946872852635653,0.14272756792984798,0.19329415863070687,0.23003990258474682,0.247092985468777,0.5776269514857726,0.7822729498532518
clip_openai__l14,0.10915052988066602,0.15970223755801083,0.21123603114822723,0.24781650254028165,0.26712829554388806,0.5978484504340815,0.7907662148561946
dino_vitb16,0.06236549622026507,0.10011674150466358,0.14141115114218003,0.1765465392380594,0.1899977396705862,0.5269364871300245,0.7442780708199765
dino_vitb8,0.06741994595927898,0.10843632479706629,0.1524609481694135,0.19075498075294128,0.20932776300755962,0.5180217054779792,0.7283360122847515
dino_vits16,0.045774151304762034,0.0815517235700927,0.11286990346231,0.1398790725655379,0.15664537001620238,0.5206136865817197,0.7205441402489935
dino_vits8,0.06037933449721996,0.10208654765040408,0.13844686389685046,0.16996232769286623,0.18479920200490518,0.552418768819653,0.7491745764853228
dinov2_base,0.1392798671249126,0.18462904332493887,0.22953115795089404,0.26594923987898955,0.28104371439221043,0.6569406603674469,0.8167098077510174
dinov2_giant,0.1292396216177177,0.18389098018318395,0.22704363298970745,0.2579643957063561,0.2743638795760933,0.6702448604652523,0.8275274184798008
dinov2_large,0.13664665492080594,0.18235248785057914,0.2330363417869454,0.26841595955246866,0.2814074046029561,0.6480017400674452,0.8281101988618299
dinov2_small,0.12352633529372947,0.17799895257910328,0.21937802871164036,0.24965021811075971,0.2634477156672612,0.6756519111515807,0.8327194189404868
dinov3,0.12319078489128436,0.17295357353567717,0.22250864006528,0.25683853550722857,0.27371216010828825,0.6318812195528758,0.812929319534979
dinov3_vitb16,0.12936203822623538,0.17455088426630147,0.2189704885111304,0.25866697388820725,0.27374421760766365,0.637642269823108,0.7999090918697096
dinov3_vitl16,0.1247521712744311,0.17291011582417012,0.22334641542890385,0.2581026823416632,0.2749303947103985,0.6289232443953942,0.8123744035801087
dinov3_vits16,0.1121699810298108,0.16271400176155948,0.20117792355668282,0.23291912501576295,0.2454300842742556,0.6629749659366734,0.8196954507495371
eupe_convnext_b,0.1486026864553397,0.1985811160229035,0.2528532937555651,0.28869178671248297,0.30435357718778344,0.6524684804357687,0.8307879805189766
eupe_convnext_s,0.15050510328972547,0.20000801312646177,0.24896987942955326,0.2863428319011867,0.30115903418173584,0.6641275552961363,0.8267056643544394
eupe_convnext_t,0.14435345384741968,0.1916260373176255,0.24130262157611362,0.2760409985350688,0.29157379439868947,0.6572128257027162,0.8275867935036832
eupe_vit_b,0.1516815943805562,0.2041727378256283,0.24909321354416838,0.28969702124039676,0.3077900417672691,0.663350694042306,0.8092958827190275
eupe_vit_s,0.13987110293261848,0.19993366311634556,0.24671262428502191,0.27730538712501795,0.29041983476792443,0.6884297805489535,0.8495033560024262
eupe_vit_t,0.12115772009467045,0.167599735217101,0.21124704528547442,0.24117195347562292,0.251612325433893,0.6661030413676419,0.8395735181938696
mc1_b16_224_2.5b,0.11915098235643262,0.16361299659591474,0.20972433061309126,0.2465895792067916,0.260599539454759,0.6278330227990235,0.8047762902877277
mc1_b16_224_400m,0.10864914671385291,0.15254768401259913,0.1980748895559393,0.23297825407463868,0.24818366114174695,0.6146564335090272,0.7980980240387837
