name,family,MLLM_Avg,qwen3,qwen2_5,smollm2,probe_epoch1,retrieval-ImageNet,CKA,pretrain_loss,A_score,d,n_tokens,eff_rank,RankMe,VSA,m50,m90,LAR_64,sup,res,d_s,n_tokens_s,top1_share,part_ratio,eff_rank_e,r2_raw,r2_std,r2_krr,r2_lin_p,gap_scale,gap_nonlin,mknn,cka_txt,mAP_dom,mAP_obj80,mAP_small,mAP_count2,mAP_crowd,mAP_w_obj,mAP_w_color,mAP_w_rel,mAP_w_num,mAP_w_act,mean_domain_rank,caption_loss,mAP_ocr_word,mAP_ocr_num,mAP_ocr_dense,mAP_oi_class
I-JEPA,ijepa,36.48,36.56,36.48,33.23,74.91,62.5,29.99,2.9589,-2.67,1280,256,115.24704574387894,427.466850790906,0.8998984856405398,4.0,22.0,0.9780920756252454,ssl,-6.497589616179269,1280,256,0.0379019602410543,129.9441055773208,303.38203561588824,0.2495261023893102,0.2470929854687769,0.2459293985187302,0.2334637423163337,-0.0024331169205333,0.0124656562023964,0.0564097011693373,0.250264785111761,0.6750488347731072,0.6117558594323373,0.3720851231299409,0.3585737308783884,0.3017579023058231,0.3764670195429023,0.1728566996710939,0.138223388793388,0.1451600256717382,0.3437828302095804,42.0,2.3296312633901834,0.0839848107693429,0.0822108465547857,0.8166690245228783,0.4782908895435875
clip_openai__l14,clip,49.76,47.83,49.76,40.51,82.49,75.4,44.45,2.5431,-2.41,1024,256,64.13572363985642,412.5137907017255,0.8815657092412081,3.0,15.0,0.9898278553556272,lang,2.5381015643493043,1024,256,0.0670501795992629,69.79858128002728,208.5834455686753,0.2664377772107882,0.267128295543888,0.2628823719662182,0.2514980609205881,0.0006905183330998,0.01138431104563,0.0581203984408834,0.2714751206728534,0.7811191684794603,0.7516659210718452,0.4425966850825673,0.4745538598129714,0.4242072971749153,0.4229129199675719,0.2059685009721995,0.1391139323210116,0.1730511522886711,0.3875985043796157,24.0,2.3098012153059244,0.1468354959606796,0.1001819509435692,0.8523595905971015,0.5112971085441974
dino_vitb16,dino,34.84,,34.84,30.93,75.18,,,,-2.71,768,196,56.622803045412645,426.2932068369937,0.8663683861869033,2.0,14.0,0.9882790450038932,ssl,-8.288772120302923,768,196,0.0896815237750269,61.518990765927846,215.75800176818592,0.1889096284385425,0.1899977396705863,0.193807861007739,0.1761506557754109,0.0010881112320437,0.0176572052323281,0.0375270679948029,0.1841978427327192,0.5482493835368905,0.5428939496277897,0.3167461867751435,0.3086285840890561,0.2669430083336757,0.321581389349687,0.1694931255131364,0.1281374774409311,0.1225133800710345,0.289498693113598,55.0,2.50454892590642,0.0940247143663253,0.0652154210705309,0.8265961525642929,0.4308666072536811
dino_vitb8,dino,31.33,,31.33,,77.57,,,,-2.85,768,784,49.27236690329224,425.6083517725149,0.8789615387316556,2.0,14.0,0.9877589224278688,ssl,-13.137017249397474,768,784,0.1026151403476196,53.75074234191196,208.31922110895343,0.207648191376214,0.2093277630075595,0.2131113209925113,0.1946654618993158,0.0016795716313454,0.0184458590931954,0.042399307059333,0.1849793599037783,0.6089091279897784,0.5875958961733756,0.3417615981519832,0.3431989577251543,0.314341121862406,0.3445345862335544,0.1696425982143448,0.1277254621524541,0.1132093884745931,0.2996971752646296,56.0,2.520836029201746,0.0974000076689347,0.0682531870178226,0.8233312696098197,0.4395408070482165
dino_vits16,dino,29.69,,29.69,28.7,73.38,,,,-2.92,384,196,33.817033352013354,298.9607238115249,0.8780718065551271,2.0,11.0,0.9919856828557674,ssl,-12.430888759478568,384,196,0.1301724954144166,33.81703335201336,106.11132847844225,0.1637071629620662,0.1566453700162025,0.1673499548042013,0.148073939703229,-0.0070617929458637,0.0192760151009723,0.0332828064097011,0.1649690304390538,0.4463980856696781,0.4549698928859789,0.2683259544177643,0.2524206826584524,0.2079359471970041,0.284317455718357,0.1428170361861877,0.1110081516310135,0.0977342221516546,0.2614488127349426,48.0,2.4965752121061087,0.0878441244950326,0.0508907601655301,0.8048088954209753,0.3661505410571822
dino_vits8,dino,30.68,,30.68,,77.08,,,,-2.87,384,784,32.82589731588559,311.8189581840872,0.8892928503619648,2.0,12.0,0.989301782395534,ssl,-13.512649001173068,384,784,0.1306299512500662,32.82589731588568,116.38486963213865,0.1887869236847026,0.1847992020049053,0.1970351678268759,0.1728705906424541,-0.0039877216797973,0.0241645771844217,0.0402555218709398,0.1587623265825134,0.5668441638766483,0.5425744955945243,0.3185100634460882,0.3064435596603558,0.2554786245225652,0.3223009471456641,0.1656266858795371,0.1270354674957714,0.1031033952308857,0.3019119456895396,41.0,2.5104619171470404,0.0889404547605893,0.064961608484948,0.8031468554809665,0.40239005898694
dinov2_base,dinov2,41.31,,41.31,32.1,82.41,,,,-2.57,768,256,69.922419944999,412.70663041804,0.8682435104664615,3.0,11.0,0.9931552258374856,ssl,-5.867103619614056,768,256,0.059180007911197,73.90076489228716,202.60762506912025,0.2811084283028238,0.2810437143922106,0.279296452699124,0.2705914788213249,-6.471391061313447e-05,0.0087049738777991,0.0634040710264183,0.3407266310814713,0.7784791455074105,0.731150834660337,0.4342622413565,0.4708547310396209,0.4038534851503136,0.4194627919172121,0.1831887161029776,0.1608288812484787,0.1762000807908969,0.3805888555350517,77.0,4.026512764394283,0.1029712911649682,0.087190167991419,0.8178678651539795,0.5368246381471341
dinov2_giant,dinov2,44.42,,44.42,,84.34,,,,-2.51,1536,256,67.75992091895223,416.56384468580313,0.8764922395017661,3.0,11.0,0.9921091058913852,ssl,-3.8377785564979447,1536,256,0.0648862639444912,77.68099293257642,250.6103809203402,0.2780218712996584,0.2743638795760934,0.2759553388530049,0.2644145972920514,-0.0036579917235649,0.0115407415609535,0.0619532265049805,0.3198024734655235,0.7903596848758572,0.7686398122663273,0.466815489618694,0.5007328415470045,0.438440286499023,0.4317586870513819,0.1754898767363722,0.1581654172984801,0.1797853154169886,0.371134834191706,35.5,2.4031234215945005,0.1127494443218989,0.0860103437587121,0.8283346757905043,0.5280731194479428
dinov2_large,dinov2,43.08,,43.08,37.48,84.42,,,,-2.51,1024,256,47.17174073220141,402.3940482238437,0.8743686466428823,2.0,9.0,0.9949191983939116,ssl,-5.222573372534583,1024,256,0.0888255225134184,51.33822936421763,179.05721314512132,0.2844284164407953,0.2814074046029562,0.2795655525659006,0.2700914904254349,-0.003021011837839,0.0094740621404657,0.0640753572975313,0.3281416528761017,0.7989399335437437,0.7619537315996923,0.4595340626010241,0.4836068104745148,0.4204271804379175,0.4314847139467722,0.1792169516308895,0.1592218402953515,0.1714709345068291,0.3707221000940017,26.0,2.414838809520006,0.1109677568330462,0.0909885724411091,0.8159045932124925,0.5270450599820986
dinov2_small,dinov2,38.78,,38.78,32.25,78.43,,,,-2.76,384,256,59.75625066744715,296.1679224389522,0.9086166509344372,3.0,11.0,0.992976063319196,ssl,-6.168561521791332,384,256,0.07035566645814,59.75625066744714,134.4760252319348,0.2674182159748375,0.2634477156672612,0.2628122054364858,0.2529653220565091,-0.0039705003075762,0.0098468833799767,0.0596578605456907,0.3253934513435213,0.729805296757346,0.6772935960662333,0.4134004348367563,0.4335707277980492,0.3885041659814479,0.3998052667413154,0.1634313215780043,0.1483713080730016,0.1627350391444904,0.3505997107229528,50.5,2.381493205204606,0.1006320291328725,0.0825563905206907,0.8183990877704993,0.5135870953413595
