name,family,MLLM_Avg,qwen3,qwen2_5,smollm2,probe_epoch1,retrieval-ImageNet,CKA,pretrain_loss,A_score,d,n_tokens,eff_rank,RankMe,VSA,m50,m90,LAR_64,sup,res
I-JEPA,ijepa,36.48,36.56,36.48,33.23,74.91,62.5,29.99,2.9589,-2.67,1280,256,115.24704574387894,427.466850790906,0.8998984856405398,4.0,22.0,0.9780920756252454,ssl,-6.497589616179269
clip_openai__l14,clip,49.76,47.83,49.76,40.51,82.49,75.4,44.45,2.5431,-2.41,1024,256,64.13572363985642,412.5137907017255,0.8815657092412081,3.0,15.0,0.9898278553556272,lang,2.5381015643493043
dino_vitb16,dino,34.84,,34.84,30.93,75.18,,,,-2.71,768,196,56.622803045412645,426.2932068369937,0.8663683861869033,2.0,14.0,0.9882790450038932,ssl,-8.288772120302923
dino_vitb8,dino,31.33,,31.33,,77.57,,,,-2.85,768,784,49.27236690329224,425.6083517725149,0.8789615387316556,2.0,14.0,0.9877589224278688,ssl,-13.137017249397474
dino_vits16,dino,29.69,,29.69,28.7,73.38,,,,-2.92,384,196,33.817033352013354,298.9607238115249,0.8780718065551271,2.0,11.0,0.9919856828557674,ssl,-12.430888759478567
dino_vits8,dino,30.68,,30.68,,77.08,,,,-2.87,384,784,32.82589731588559,311.8189581840872,0.8892928503619648,2.0,12.0,0.989301782395534,ssl,-13.512649001173067
dinov2_base,dinov2,41.31,,41.31,32.1,82.41,,,,-2.57,768,256,69.922419944999,412.70663041804,0.8682435104664615,3.0,11.0,0.9931552258374856,ssl,-5.867103619614056
dinov2_giant,dinov2,44.42,,44.42,,84.34,,,,-2.51,1536,256,67.75992091895223,416.56384468580313,0.8764922395017661,3.0,11.0,0.9921091058913852,ssl,-3.8377785564979447
dinov2_large,dinov2,43.08,,43.08,37.48,84.42,,,,-2.51,1024,256,47.17174073220141,402.3940482238437,0.8743686466428823,2.0,9.0,0.9949191983939116,ssl,-5.222573372534583
dinov2_small,dinov2,38.78,,38.78,32.25,78.43,,,,-2.76,384,256,59.75625066744715,296.1679224389522,0.9086166509344372,3.0,11.0,0.992976063319196,ssl,-6.168561521791332
dinov3,dinov3,36.88,,36.88,,83.36,,,,-2.68,1024,256,84.026963162961,413.52839719395234,0.8770317515079891,3.0,14.0,0.9876021756008404,ssl,-10.829042060049126
eupe_convnext_b,eupe,44.04,,44.04,,76.68,,,,,1024,64,34.824563348844855,367.6123585123881,0.8978793102468793,2.0,11.0,0.994246947506058,lang,0.07132507901011564
eupe_convnext_s,eupe,43.51,,43.51,,74.43,,,,,768,64,28.090233203716988,344.0974960612599,0.8796419607976002,2.0,9.0,0.9955321854940932,lang,0.8011792800405502
eupe_convnext_t,eupe,41.9,,41.9,,67.66,,,,,768,64,24.564335069557103,337.6852834381899,0.8736367818535332,2.0,8.0,0.9965769429924012,lang,2.9819405871410254
eupe_vit_b,eupe,41.52,,41.52,35.74,83.22,,,,-2.63,768,256,26.94480069423372,361.57355400515655,0.9008965141120752,2.0,8.0,0.9951440860305808,lang,-6.1106511319850085
eupe_vit_s,eupe,41.11,,41.11,32.79,77.01,,,,,384,256,36.17949390207548,255.3658630689512,0.9151688998193211,2.0,9.0,0.9952709402700152,lang,-3.043453537141012
eupe_vit_t,eupe,26.94,,26.94,29.68,62.19,,,,,192,256,26.910409256228743,125.17233525926112,0.9330776547758748,2.0,9.0,0.9978437742315516,lang,-8.915213866353863
mc1_b16_224_2.5b,mc1,44.74,43.9,44.74,37.05,77.38,72.1,42.57,2.603,-2.5,768,196,60.80133595041139,387.02682044013886,0.8653196704711738,3.0,13.0,0.9930094158944984,lang,0.37937043868954845
mc1_b16_224_400m,mc1,44.78,44.05,44.78,,76.47,70.8,43.46,2.6238,-2.44,768,196,60.08264106735785,396.2989606318002,0.8677266417488375,3.0,12.0,0.9927991639003004,lang,0.9289114711062965
mc1_b32_224_2.5b,mc1,39.04,38.43,39.04,,73.35,67.6,41.19,2.8651,-2.63,768,49,58.9763180509645,400.6911951630501,0.8126388081317651,3.0,11.0,0.993333783350689,lang,-3.064090703464828
mc1_b32_224_400m,mc1,37.63,34.69,37.63,,72.36,65.6,41.39,2.8638,-2.7,768,49,52.02495781005263,407.46441904565,0.8355792674099858,3.0,11.0,0.9935461366322744,lang,-3.9197548550114405
mc1_g14_224_2.5b,mc1,49.86,47.7,49.86,43.19,85.13,82.1,47.96,2.5197,-2.34,1664,256,77.72718087698229,436.0207347444853,0.893346584965644,4.0,18.0,0.9843328074990594,lang,1.1598726351402604
mc1_h14_224_2.5b,mc1,48.92,46.4,48.92,,83.77,80.5,47.53,2.5947,-2.39,1280,256,4.260109105231983,352.6049533486888,0.8944745959028454,1.0,7.0,0.9966538933824184,lang,0.9813845077631029
mc1_h14_224_v1.2,mc1,51.16,48.67,51.16,39.42,85.64,82.0,46.58,2.4454,-2.31,1280,256,58.351283964553865,424.3581068183019,0.8914945460414799,4.0,16.0,0.9869857632027236,lang,2.1743056829066916
mc1_l14_224_2.5b,mc1,48.78,46.08,48.78,40.68,82.6,79.2,46.98,2.5503,-2.37,1024,256,68.62453086102435,394.48626829613534,0.8899088512089556,3.0,18.0,0.98720975920472,lang,1.4965086922989315
mc1_l14_224_400m,mc1,47.08,45.89,47.08,,81.44,76.2,43.99,2.5816,-2.34,1024,256,99.15671699502929,429.1881106117532,0.8709560785212402,4.0,17.0,0.9878054698014104,lang,0.44603352483017744
mc2_b16_224,mc2,45.56,43.65,45.56,,78.65,71.4,44.64,2.5582,-2.42,768,196,65.40999879182328,392.1624817998133,0.8793046591753281,3.0,11.0,0.9928613753260992,lang,0.4882527341079168
mc2_b16_384,mc2,46.85,44.29,46.85,,80.21,73.0,44.96,2.6012,-2.44,768,576,62.58167472085795,387.4332850382728,0.8684903286155953,3.0,11.0,0.9929778366824612,lang,0.9047538213934843
mc2_b32_224,mc2,41.35,38.24,41.35,,74.25,66.1,40.67,2.6583,-2.5,768,49,56.51796203043133,389.29245075263776,0.84218346519732,3.0,10.0,0.9946467129620468,lang,-1.2580323838770084
mc2_b32_224_mt5,mc2,41.62,35.39,41.62,,74.24,66.6,40.43,2.6402,-2.51,768,49,53.28401728988633,390.4493781980283,0.8630991786623726,2.0,10.0,0.993750698922376,lang,-0.982433031872425
mc2_b32_384,mc2,43.07,43.37,43.07,,77.31,69.2,42.62,2.59,-2.42,768,144,53.00933836385334,383.3491813838442,0.8738212618518426,3.0,10.0,0.9940234765707016,lang,-1.2514340972784055
mc2_g14_224,mc2,50.77,48.84,50.77,40.9,85.72,82.6,48.47,2.4549,-2.32,1664,256,85.54733045807936,435.56033037880286,0.8818663658658151,3.0,16.0,0.989307523568648,lang,1.7395108668700558
mc2_g14_378,mc2,52.56,47.08,52.56,45.93,86.64,83.5,48.69,2.5671,-2.35,1664,729,82.22661650753966,432.7796790710911,0.8852898697112691,3.0,16.0,0.9885169118538998,lang,3.014370482448726
mc2_h14_378,mc2,50.89,40.52,50.89,,85.96,82.3,48.08,2.6415,-2.33,1280,729,54.75247597746283,418.91157246085135,0.8829028543505993,4.0,16.0,0.9867165979407928,lang,1.7251264187601478
mc2_l14_224,mc2,49.46,40.43,49.46,41.39,84.0,79.2,46.37,2.4668,-2.33,1024,256,57.88364097657198,395.73744757189775,0.869663941965598,4.0,14.0,0.9912569858049572,lang,1.3925994116577698
mc2_m16_224,mc2,43.34,38.76,43.34,,74.88,66.4,42.62,2.6228,-2.4,512,196,66.561316622511,361.0980096684081,0.8670590274283405,3.0,13.0,0.9912194609920544,lang,0.3792084398344784
mc2_m16_224_mt5,mc2,43.25,40.42,43.25,,74.76,67.0,41.79,2.6231,-2.49,512,196,46.28714434517789,353.82395633711127,0.8833700740324043,3.0,11.0,0.993121351973846,lang,0.35640066388942415
mc2_m16_384,mc2,44.79,42.93,44.79,,76.84,68.4,41.91,2.5923,-2.49,512,576,64.40918680588281,356.61551942424575,0.8674110019226247,3.0,14.0,0.9908276071163172,lang,0.7317354469368453
mc2_s16_224,mc2,41.05,39.77,41.05,30.59,71.2,61.4,40.22,2.6661,-2.53,384,196,54.283010272454895,265.9415131093064,0.892178785781628,3.0,13.0,0.9927467792242836,lang,0.14976997751980292
mc2_s16_224_mt5,mc2,41.35,39.12,41.35,,68.99,55.8,39.21,2.6624,-2.51,384,196,53.895171894534606,281.8023897833207,0.9092994310726786,3.0,12.0,0.9921234390739742,lang,1.6872267705319288
mc2_s16_384,mc2,41.58,40.91,41.58,,73.57,63.9,41.36,2.6548,-2.47,384,576,51.89564561526157,263.0795926916137,0.8989199320789428,3.0,12.0,0.9923558860644708,lang,-0.6472764475655879
pe_core_b16_224,pe_core,45.91,,45.91,35.77,81.45,,,,-2.39,768,196,18.50316018027157,240.44147299544397,0.8768889624584234,5.0,20.0,0.997231929425496,lang,-0.7295658271744117
pe_core_g14_448,pe_core,51.88,,51.88,42.41,88.22,,,,-2.33,1536,1024,4.614341988816214,108.82211745768412,0.9018045491417996,2.0,5.0,0.9994915831343733,lang,1.4496728657251268
pe_core_l14_336,pe_core,51.93,,51.93,,86.35,,,,-2.37,1024,576,8.25086930224773,235.02233572366453,0.9042548275184468,4.0,10.0,0.9969595064205468,lang,2.5467516905815373
pe_core_s16_384,pe_core,43.54,,43.54,,76.71,,,,-2.5,384,576,7.020043547461194,113.1145195477762,0.9118515337527374,2.0,8.0,0.9994966496667542,lang,-0.4454729770036181
pe_core_t16_384,pe_core,36.86,,36.86,,60.9,,,,-2.75,192,576,6.736659850553767,78.64147891975131,0.9296149323886018,2.0,6.0,0.9995036510344464,lang,1.7271025422369206
pe_lang_g14_448,pe_lang,58.03,,58.03,,74.61,,,,-2.15,1536,1024,49.30866794894289,398.17235033687285,0.9033544455476682,3.0,14.0,0.9919350832502318,lang,15.220390943958122
pe_lang_g14_448_tiling,pe_lang,56.03,,56.03,,76.68,,,,-2.15,1536,1024,27.61751097355862,404.9449717857309,0.8924459652203913,3.0,15.0,0.9895306753423624,lang,12.061325079010118
pe_lang_l14_448,pe_lang,45.62,,45.62,42.48,75.11,,,,,1024,1024,57.251961238488136,398.78052660603487,0.8857880588536625,3.0,12.0,0.9929315503437374,lang,2.530423343729133
pixio_vit1b16,pixio,46.05,,46.05,,74.21,,,,-2.36,1536,256,9.173638430371732,342.6399778513667,0.9127061649598192,2.0,6.0,0.996333818893606,ssl,3.4643650241413155
pixio_vitb16,pixio,41.0,,41.0,33.11,69.25,,,,-2.68,768,256,7.775095404152066,259.1014600863973,0.901589512928053,1.0,5.0,0.998596840961646,ssl,1.1916436184128543
pixio_vith16,pixio,36.07,,36.07,36.96,71.96,,,,-2.98,1280,256,10.894674561226568,342.274757887782,0.8994646128548028,2.0,7.0,0.9959096857175777,ssl,-5.255780774828246
pixio_vitl16,pixio,45.95,,45.95,34.57,73.81,,,,-2.45,1024,256,5.044664588480621,210.16607095140265,0.9191747780942976,1.0,3.0,0.9993257395766876,ssl,3.588339104324504
raev2,raev2,36.26,33.52,36.26,33.09,83.23,76.8,34.09,2.9181,-2.73,1024,256,87.95210057648978,415.9997922357477,0.8811833585824598,3.0,14.0,0.987651604889792,ssl,-11.376250483989601
siglip2_b16_224,siglip2,47.83,46.6,47.83,,81.12,78.5,47.89,2.458,-2.15,768,196,52.24367549250783,390.5823166458392,0.8581205413887927,3.0,12.0,0.9948736086829836,lang,1.3752127889767252
siglip2_b16_256,siglip2,47.62,46.91,47.62,39.2,81.61,79.3,46.77,2.4604,-2.12,768,256,51.84484736258841,389.94337172920046,0.8746641114173695,3.0,12.0,0.9947653581745742,lang,0.8908445407523189
siglip2_b16_384,siglip2,50.5,42.53,50.5,,82.66,80.6,47.04,2.4706,-2.21,768,576,50.20264398706089,387.4636415271932,0.8925697663388862,3.0,12.0,0.9946169514120048,lang,3.1829125802714486
siglip2_b16_512,siglip2,50.16,48.51,50.16,40.72,83.13,81.3,46.89,2.5136,-2.23,768,1024,48.74130596469434,386.0494815956038,0.8920620532883433,3.0,12.0,0.9944423501059454,lang,2.5797430360562004
siglip2_b32_256,siglip2,45.23,42.5,45.23,,76.9,73.9,43.43,2.5376,-2.26,768,64,54.81739759913904,394.8466125053387,0.8523063060661762,3.0,12.0,0.9952317132861208,lang,1.1381393349093614
siglip2_g16_256,siglip2,53.87,51.02,53.87,43.75,86.96,84.4,53.24,2.3646,-2.12,1536,256,66.46225266355107,409.0927599361608,0.892799333638338,4.0,18.0,0.9893311282541212,lang,4.145191218302173
siglip2_g16_384,siglip2,54.25,54.56,54.25,42.97,87.53,85.0,51.15,2.3815,-2.12,1536,576,58.957163823004194,402.6296264383978,0.8971621056474988,4.0,18.0,0.9901675716809984,lang,4.206028154041128
