name,family,MLLM_Avg,qwen3,qwen2_5,smollm2,probe_epoch1,retrieval-ImageNet,CKA,pretrain_loss,A_score,d,n_tokens,eff_rank,RankMe,VSA,m50,m90,LAR_64,sup,res,d_s,n_tokens_s,top1_share,part_ratio,eff_rank_e,r2_raw,r2_std,r2_krr,r2_lin_p,gap_scale,gap_nonlin,mknn,cka_txt
I-JEPA,ijepa,36.48,36.56,36.48,33.23,74.91,62.5,29.99,2.9589,-2.67,1280,256,115.24704574387894,427.466850790906,0.8998984856405398,4.0,22.0,0.9780920756252454,ssl,-6.497589616179269,1280,256,0.0379019602410543,129.9441055773208,303.38203561588824,0.2495261023893102,0.2470929854687769,0.2459293985187302,0.2334637423163337,-0.0024331169205333,0.0124656562023964,0.0564097011693373,0.250264785111761
clip_openai__l14,clip,49.76,47.83,49.76,40.51,82.49,75.4,44.45,2.5431,-2.41,1024,256,64.13572363985642,412.5137907017255,0.8815657092412081,3.0,15.0,0.9898278553556272,lang,2.5381015643493043,1024,256,0.0670501795992629,69.79858128002728,208.5834455686753,0.2664377772107882,0.267128295543888,0.2628823719662182,0.2514980609205881,0.0006905183330998,0.01138431104563,0.0581203984408834,0.2714751206728534
dino_vitb16,dino,34.84,,34.84,30.93,75.18,,,,-2.71,768,196,56.622803045412645,426.2932068369937,0.8663683861869033,2.0,14.0,0.9882790450038932,ssl,-8.288772120302923,768,196,0.0896815237750269,61.518990765927846,215.75800176818592,0.1889096284385425,0.1899977396705863,0.193807861007739,0.1761506557754109,0.0010881112320437,0.0176572052323281,0.0375270679948029,0.1841978427327192
dino_vitb8,dino,31.33,,31.33,,77.57,,,,-2.85,768,784,49.27236690329224,425.6083517725149,0.8789615387316556,2.0,14.0,0.9877589224278688,ssl,-13.137017249397474,768,784,0.1026151403476196,53.75074234191196,208.31922110895343,0.207648191376214,0.2093277630075595,0.2131113209925113,0.1946654618993158,0.0016795716313454,0.0184458590931954,0.042399307059333,0.1849793599037783
dino_vits16,dino,29.69,,29.69,28.7,73.38,,,,-2.92,384,196,33.817033352013354,298.9607238115249,0.8780718065551271,2.0,11.0,0.9919856828557674,ssl,-12.430888759478568,384,196,0.1301724954144166,33.81703335201336,106.11132847844225,0.1637071629620662,0.1566453700162025,0.1673499548042013,0.148073939703229,-0.0070617929458637,0.0192760151009723,0.0332828064097011,0.1649690304390538
dino_vits8,dino,30.68,,30.68,,77.08,,,,-2.87,384,784,32.82589731588559,311.8189581840872,0.8892928503619648,2.0,12.0,0.989301782395534,ssl,-13.512649001173068,384,784,0.1306299512500662,32.82589731588568,116.38486963213865,0.1887869236847026,0.1847992020049053,0.1970351678268759,0.1728705906424541,-0.0039877216797973,0.0241645771844217,0.0402555218709398,0.1587623265825134
dinov2_base,dinov2,41.31,,41.31,32.1,82.41,,,,-2.57,768,256,69.922419944999,412.70663041804,0.8682435104664615,3.0,11.0,0.9931552258374856,ssl,-5.867103619614056,768,256,0.059180007911197,73.90076489228716,202.60762506912025,0.2811084283028238,0.2810437143922106,0.279296452699124,0.2705914788213249,-6.471391061313447e-05,0.0087049738777991,0.0634040710264183,0.3407266310814713
dinov2_giant,dinov2,44.42,,44.42,,84.34,,,,-2.51,1536,256,67.75992091895223,416.56384468580313,0.8764922395017661,3.0,11.0,0.9921091058913852,ssl,-3.8377785564979447,1536,256,0.0648862639444912,77.68099293257642,250.6103809203402,0.2780218712996584,0.2743638795760934,0.2759553388530049,0.2644145972920514,-0.0036579917235649,0.0115407415609535,0.0619532265049805,0.3198024734655235
dinov2_large,dinov2,43.08,,43.08,37.48,84.42,,,,-2.51,1024,256,47.17174073220141,402.3940482238437,0.8743686466428823,2.0,9.0,0.9949191983939116,ssl,-5.222573372534583,1024,256,0.0888255225134184,51.33822936421763,179.05721314512132,0.2844284164407953,0.2814074046029562,0.2795655525659006,0.2700914904254349,-0.003021011837839,0.0094740621404657,0.0640753572975313,0.3281416528761017
dinov2_small,dinov2,38.78,,38.78,32.25,78.43,,,,-2.76,384,256,59.75625066744715,296.1679224389522,0.9086166509344372,3.0,11.0,0.992976063319196,ssl,-6.168561521791332,384,256,0.07035566645814,59.75625066744714,134.4760252319348,0.2674182159748375,0.2634477156672612,0.2628122054364858,0.2529653220565091,-0.0039705003075762,0.0098468833799767,0.0596578605456907,0.3253934513435213
