correlation_rank,baseline_order,baseline_id,baseline_name,baseline_kind,150k_task_macro_rho,150k_overall_rho,mix665k_task_macro_rho,mix665k_overall_rho,two_scale_task_macro_rho,two_scale_overall_mean_rho,min_task_rho,max_task_rho
1,9,caltech101_full,Caltech101 full-shot,full-shot,0.216666667,0.100000000,0.200000000,0.700000000,0.208333333,0.400000000,-0.700000000,0.700000000
2,16,voc2007_multilabel,VOC2007 multi-label,multi-label,0.050000000,0.100000000,0.283333333,0.200000000,0.166666667,0.150000000,-0.500000000,0.800000000
3,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,-0.050000000,0.100000000,0.166666667,0.300000000,0.058333333,0.200000000,-0.700000000,0.900000000
4,7,dtd_full,DTD full-shot,full-shot,-0.076948376,0.051298918,0.025649459,0.205195670,-0.025649459,0.128247294,-0.872081599,0.666885929
5,1,cifar100_full,CIFAR100 full-shot,full-shot,-0.116666667,-0.300000000,-0.233333333,-0.100000000,-0.175000000,-0.200000000,-0.900000000,0.300000000
6,12,imagenet_2shot,ImageNet 2-shot,k-shot,-0.350000000,-0.300000000,-0.083333333,-0.400000000,-0.216666667,-0.350000000,-0.700000000,0.600000000
7,13,imagenet_4shot,ImageNet 4-shot,k-shot,-0.350000000,-0.300000000,-0.083333333,-0.400000000,-0.216666667,-0.350000000,-0.700000000,0.600000000
8,14,imagenet_8shot,ImageNet 8-shot,k-shot,-0.350000000,-0.300000000,-0.083333333,-0.400000000,-0.216666667,-0.350000000,-0.700000000,0.600000000
9,15,imagenet_16shot,ImageNet 16-shot,k-shot,-0.350000000,-0.300000000,-0.083333333,-0.400000000,-0.216666667,-0.350000000,-0.700000000,0.600000000
10,11,imagenet_1shot,ImageNet 1-shot,k-shot,-0.416666667,-0.500000000,-0.033333333,-0.300000000,-0.225000000,-0.400000000,-0.900000000,0.500000000
11,8,sun397_full,SUN397 full-shot,full-shot,-0.416666667,-0.500000000,-0.100000000,0.100000000,-0.258333333,-0.200000000,-0.800000000,0.400000000
12,3,oxford_pets_full,OxfordPets full-shot,full-shot,-0.433333333,-0.400000000,-0.116666667,-0.300000000,-0.275000000,-0.350000000,-0.900000000,0.400000000
13,5,stanford_cars_full,StanfordCars full-shot,full-shot,-0.433333333,-0.400000000,-0.116666667,-0.300000000,-0.275000000,-0.350000000,-0.900000000,0.400000000
14,2,food101_full,Food101 full-shot,full-shot,-0.433333333,-0.600000000,-0.200000000,0.000000000,-0.316666667,-0.300000000,-0.800000000,0.300000000
15,4,flowers102_full,Flowers102 full-shot,full-shot,-0.383333333,-0.300000000,-0.266666667,-0.500000000,-0.325000000,-0.400000000,-0.800000000,0.300000000
16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,-0.650000000,-0.900000000,-0.050000000,0.000000000,-0.350000000,-0.450000000,-0.900000000,0.300000000
