scope,baseline_order,baseline_id,baseline_name,baseline_kind,tokenizer,score
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,unitok,86.479997635
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,vilau,86.390000582
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,toklips,84.350001812
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,toklipl,82.359999418
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,metaclip,86.309999228
core16,2,food101_full,Food101 full-shot,full-shot,unitok,92.807918787
core16,2,food101_full,Food101 full-shot,full-shot,vilau,94.225740433
core16,2,food101_full,Food101 full-shot,full-shot,toklips,89.398020506
core16,2,food101_full,Food101 full-shot,full-shot,toklipl,92.697030306
core16,2,food101_full,Food101 full-shot,full-shot,metaclip,91.738611460
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,unitok,93.077135086
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,vilau,94.412648678
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,toklips,93.322432041
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,toklipl,94.603431225
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,metaclip,93.022620678
core16,4,flowers102_full,Flowers102 full-shot,full-shot,unitok,97.267848253
core16,4,flowers102_full,Flowers102 full-shot,full-shot,vilau,99.268174171
core16,4,flowers102_full,Flowers102 full-shot,full-shot,toklips,98.211091757
core16,4,flowers102_full,Flowers102 full-shot,full-shot,toklipl,98.877865076
core16,4,flowers102_full,Flowers102 full-shot,full-shot,metaclip,97.186535597
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,unitok,92.152714729
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,vilau,93.458527327
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,toklips,93.408781290
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,toklipl,94.005721807
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,metaclip,92.140281200
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,unitok,52.355235815
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,vilau,63.846385479
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,toklips,62.856286764
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,toklipl,67.536753416
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,metaclip,62.886285782
core16,7,dtd_full,DTD full-shot,full-shot,unitok,81.010639668
core16,7,dtd_full,DTD full-shot,full-shot,vilau,83.351063728
core16,7,dtd_full,DTD full-shot,full-shot,toklips,81.010639668
core16,7,dtd_full,DTD full-shot,full-shot,toklipl,82.712763548
core16,7,dtd_full,DTD full-shot,full-shot,metaclip,81.329786777
core16,8,sun397_full,SUN397 full-shot,full-shot,unitok,82.634484768
core16,8,sun397_full,SUN397 full-shot,full-shot,vilau,83.411496878
core16,8,sun397_full,SUN397 full-shot,full-shot,toklips,80.666667223
core16,8,sun397_full,SUN397 full-shot,full-shot,toklipl,82.685059309
core16,8,sun397_full,SUN397 full-shot,full-shot,metaclip,82.473564148
core16,9,caltech101_full,Caltech101 full-shot,full-shot,unitok,95.927041769
core16,9,caltech101_full,Caltech101 full-shot,full-shot,vilau,95.714539289
core16,9,caltech101_full,Caltech101 full-shot,full-shot,toklips,93.182218075
core16,9,caltech101_full,Caltech101 full-shot,full-shot,toklipl,93.500971794
