scale,tokenizer,MMMU_TEST,MMBench,VQAv2_VAL,VizWiz,MSCOCO,FLICKR30K,OverallMean
150k,unitok,4.000000,4.000000,5.000000,5.000000,3.000000,3.000000,5.000000
150k,vilau,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,3.000000
150k,toklips,5.000000,3.000000,1.000000,2.000000,2.000000,2.000000,2.000000
150k,toklipl,3.000000,5.000000,2.000000,3.000000,5.000000,5.000000,4.000000
150k,metaclip,1.000000,1.000000,3.000000,1.000000,1.000000,1.000000,1.000000
mix665k,unitok,1.000000,3.000000,3.000000,3.000000,5.000000,5.000000,3.000000
mix665k,vilau,5.000000,5.000000,4.000000,4.000000,2.000000,3.000000,4.000000
mix665k,toklips,2.000000,4.000000,5.000000,5.000000,1.000000,4.000000,5.000000
mix665k,toklipl,3.000000,2.000000,2.000000,2.000000,4.000000,1.000000,2.000000
mix665k,metaclip,4.000000,1.000000,1.000000,1.000000,3.000000,2.000000,1.000000
