scale,tokenizer,MMMU_TEST,MMBench,VQAv2_VAL,VizWiz,MSCOCO,FLICKR30K,OverallMean
150k,unitok,24.30,38.10,1.89,0.84,19.60,19.91,17.44
150k,vilau,28.90,47.99,5.84,1.19,19.36,19.33,20.44
150k,toklips,22.60,45.79,29.86,5.41,21.67,21.56,24.48
150k,toklipl,27.90,31.50,11.88,2.12,18.05,18.23,18.28
150k,metaclip,37.30,55.68,7.00,37.54,22.51,23.16,30.53
mix665k,unitok,38.60,57.14,61.48,19.04,24.34,25.19,37.63
mix665k,vilau,33.80,47.25,55.50,13.14,26.82,27.08,33.93
mix665k,toklips,35.60,47.99,49.45,12.50,27.16,25.82,33.09
mix665k,toklipl,35.20,59.71,63.97,20.18,25.00,29.92,38.99
mix665k,metaclip,34.80,62.27,67.75,25.37,25.08,27.28,40.43
