scope,baseline_order,baseline_id,baseline_name,baseline_kind,mllm_scale,gold_metric,rho,pvalue_two_sided_asymptotic,n_tokenizers
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,150k,MMMU_TEST,0.100000000,0.872888572,5
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,150k,MMBench,0.300000000,0.623837665,5
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,150k,VQAv2_VAL,-0.900000000,0.037386073,5
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,150k,VizWiz,-0.600000000,0.284756980,5
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,150k,MSCOCO,0.200000000,0.747060078,5
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,150k,FLICKR30K,0.200000000,0.747060078,5
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,150k,OverallMean,-0.300000000,0.623837665,5
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,mix665k,MMMU_TEST,0.100000000,0.872888572,5
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,mix665k,MMBench,-0.300000000,0.623837665,5
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,mix665k,VQAv2_VAL,-0.100000000,0.872888572,5
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,mix665k,VizWiz,-0.100000000,0.872888572,5
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,mix665k,MSCOCO,-0.300000000,0.623837665,5
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,mix665k,FLICKR30K,-0.700000000,0.188120404,5
core16,1,cifar100_full,CIFAR100 full-shot,full-shot,mix665k,OverallMean,-0.100000000,0.872888572,5
core16,2,food101_full,Food101 full-shot,full-shot,150k,MMMU_TEST,0.300000000,0.623837665,5
core16,2,food101_full,Food101 full-shot,full-shot,150k,MMBench,-0.100000000,0.872888572,5
core16,2,food101_full,Food101 full-shot,full-shot,150k,VQAv2_VAL,-0.800000000,0.104088039,5
core16,2,food101_full,Food101 full-shot,full-shot,150k,VizWiz,-0.800000000,0.104088039,5
core16,2,food101_full,Food101 full-shot,full-shot,150k,MSCOCO,-0.600000000,0.284756980,5
core16,2,food101_full,Food101 full-shot,full-shot,150k,FLICKR30K,-0.600000000,0.284756980,5
core16,2,food101_full,Food101 full-shot,full-shot,150k,OverallMean,-0.600000000,0.284756980,5
core16,2,food101_full,Food101 full-shot,full-shot,mix665k,MMMU_TEST,-0.300000000,0.623837665,5
core16,2,food101_full,Food101 full-shot,full-shot,mix665k,MMBench,-0.400000000,0.504631575,5
core16,2,food101_full,Food101 full-shot,full-shot,mix665k,VQAv2_VAL,0.000000000,1.000000000,5
core16,2,food101_full,Food101 full-shot,full-shot,mix665k,VizWiz,0.000000000,1.000000000,5
core16,2,food101_full,Food101 full-shot,full-shot,mix665k,MSCOCO,-0.400000000,0.504631575,5
core16,2,food101_full,Food101 full-shot,full-shot,mix665k,FLICKR30K,-0.100000000,0.872888572,5
core16,2,food101_full,Food101 full-shot,full-shot,mix665k,OverallMean,0.000000000,1.000000000,5
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,150k,MMMU_TEST,-0.200000000,0.747060078,5
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,150k,MMBench,-0.600000000,0.284756980,5
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,150k,VQAv2_VAL,0.300000000,0.623837665,5
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,150k,VizWiz,-0.300000000,0.623837665,5
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,150k,MSCOCO,-0.900000000,0.037386073,5
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,150k,FLICKR30K,-0.900000000,0.037386073,5
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,150k,OverallMean,-0.400000000,0.504631575,5
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,mix665k,MMMU_TEST,-0.200000000,0.747060078,5
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,mix665k,MMBench,-0.400000000,0.504631575,5
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,mix665k,VQAv2_VAL,-0.300000000,0.623837665,5
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,mix665k,VizWiz,-0.300000000,0.623837665,5
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,mix665k,MSCOCO,0.100000000,0.872888572,5
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,mix665k,FLICKR30K,0.400000000,0.504631575,5
core16,3,oxford_pets_full,OxfordPets full-shot,full-shot,mix665k,OverallMean,-0.300000000,0.623837665,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,150k,MMMU_TEST,-0.100000000,0.872888572,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,150k,MMBench,-0.300000000,0.623837665,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,150k,VQAv2_VAL,0.100000000,0.872888572,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,150k,VizWiz,-0.400000000,0.504631575,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,150k,MSCOCO,-0.800000000,0.104088039,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,150k,FLICKR30K,-0.800000000,0.104088039,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,150k,OverallMean,-0.300000000,0.623837665,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,mix665k,MMMU_TEST,-0.400000000,0.504631575,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,mix665k,MMBench,-0.700000000,0.188120404,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,mix665k,VQAv2_VAL,-0.500000000,0.391002219,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,mix665k,VizWiz,-0.500000000,0.391002219,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,mix665k,MSCOCO,0.300000000,0.623837665,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,mix665k,FLICKR30K,0.200000000,0.747060078,5
core16,4,flowers102_full,Flowers102 full-shot,full-shot,mix665k,OverallMean,-0.500000000,0.391002219,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,150k,MMMU_TEST,-0.200000000,0.747060078,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,150k,MMBench,-0.600000000,0.284756980,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,150k,VQAv2_VAL,0.300000000,0.623837665,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,150k,VizWiz,-0.300000000,0.623837665,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,150k,MSCOCO,-0.900000000,0.037386073,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,150k,FLICKR30K,-0.900000000,0.037386073,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,150k,OverallMean,-0.400000000,0.504631575,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,mix665k,MMMU_TEST,-0.200000000,0.747060078,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,mix665k,MMBench,-0.400000000,0.504631575,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,mix665k,VQAv2_VAL,-0.300000000,0.623837665,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,mix665k,VizWiz,-0.300000000,0.623837665,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,mix665k,MSCOCO,0.100000000,0.872888572,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,mix665k,FLICKR30K,0.400000000,0.504631575,5
core16,5,stanford_cars_full,StanfordCars full-shot,full-shot,mix665k,OverallMean,-0.300000000,0.623837665,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,150k,MMMU_TEST,0.500000000,0.391002219,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,150k,MMBench,-0.100000000,0.872888572,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,150k,VQAv2_VAL,0.300000000,0.623837665,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,150k,VizWiz,0.200000000,0.747060078,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,150k,MSCOCO,-0.600000000,0.284756980,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,150k,FLICKR30K,-0.600000000,0.284756980,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,150k,OverallMean,0.100000000,0.872888572,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,mix665k,MMMU_TEST,-0.700000000,0.188120404,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,mix665k,MMBench,0.100000000,0.872888572,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,mix665k,VQAv2_VAL,0.300000000,0.623837665,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,mix665k,VizWiz,0.300000000,0.623837665,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,mix665k,MSCOCO,0.100000000,0.872888572,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,mix665k,FLICKR30K,0.900000000,0.037386073,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,mix665k,OverallMean,0.300000000,0.623837665,5
core16,7,dtd_full,DTD full-shot,full-shot,150k,MMMU_TEST,0.666885929,0.218893981,5
core16,7,dtd_full,DTD full-shot,full-shot,150k,MMBench,0.153896753,0.804828817,5
core16,7,dtd_full,DTD full-shot,full-shot,150k,VQAv2_VAL,-0.102597835,0.869597921,5
