rank,vision_encoder,experiment,epoch1_top1_pct,epoch1_top5_pct,epoch1_effective_lr,epoch1_iteration,flops_g_mac1,flops_g_fma2,encoder_input_px,status,metrics_path,notes
1,SigLIP2 So400m/14 (384),siglip2_sm14_384,86.580,98.184,0.2,1250,335.173,670.346,378,ok,outputs/vae_linear_probing_dinov2_single_paperlr/siglip2_sm14_384/metrics_history.jsonl,checkpoint name says 384; actual native crop is 378
2,SigLIP2 ViT-G/16 (384),siglip2_g16_384,,,,,696.490,1392.979,384,missing epoch-1 metrics,outputs/vae_linear_probing_dinov2_single_paperlr/siglip2_g16_384/metrics_history.jsonl,
3,SigLIP2 ViT-L/16 (384),siglip2_l16_384,85.816,97.968,0.4,1250,191.926,383.852,384,ok,outputs/vae_linear_probing_dinov2_single_paperlr/siglip2_l16_384/metrics_history.jsonl,
4,SigLIP2 So400m/16 (512),siglip2_sm16_512,86.648,98.210,0.2,1250,489.805,979.610,512,ok,outputs/vae_linear_probing_dinov2_single_paperlr/siglip2_sm16_512/metrics_history.jsonl,
5,SigLIP2 So400m/16 (384),siglip2_sm16_384,86.320,98.154,0.2,1250,259.468,518.936,384,ok,outputs/vae_linear_probing_dinov2_single_paperlr/siglip2_sm16_384/metrics_history.jsonl,
6,SigLIP2 ViT-G/16 (256),siglip2_g16_256,,,,,299.498,598.995,256,missing epoch-1 metrics,outputs/vae_linear_probing_dinov2_single_paperlr/siglip2_g16_256/metrics_history.jsonl,
7,MetaCLIP 2 ViT-G/14 (378),mc2_g14_378,,,,,1429.224,2858.448,378,missing epoch-1 metrics,outputs/vae_linear_probing_dinov2_single_paperlr/mc2_g14_378/metrics_history.jsonl,
8,SigLIP2 So400m/14 (224),siglip2_sm14_224,85.940,98.008,0.2,1250,110.177,220.354,224,ok,outputs/vae_linear_probing_dinov2_single_paperlr/siglip2_sm14_224/metrics_history.jsonl,
9,PE-Core-G/14 (448),pe_core_g14_448,88.220,98.624,0.04,1250,2059.323,4118.647,448,ok,outputs/vae_linear_probing_dinov2_single_paperlr/pe_core_g14_448/metrics_history.jsonl,
10,SigLIP2 So400m/16 (256),siglip2_sm16_256,86.032,98.032,0.2,1250,110.230,220.460,256,ok,outputs/vae_linear_probing_dinov2_single_paperlr/siglip2_sm16_256/metrics_history.jsonl,
11,SigLIP2 ViT-L/16 (256),siglip2_l16_256,85.160,97.782,0.4,1250,81.280,162.560,256,ok,outputs/vae_linear_probing_dinov2_single_paperlr/siglip2_l16_256/metrics_history.jsonl,
12,"MetaCLIP ViT-G/14 (2.5B, 224)",mc1_g14_224_2.5b,85.134,97.720,0.04,1250,483.746,967.492,224,ok,outputs/vae_linear_probing_dinov2_single_paperlr/mc1_g14_224_2.5b/metrics_history.jsonl,
13,MetaCLIP 2 ViT-G/14 (224),mc2_g14_224,85.720,97.780,0.08,1250,483.746,967.492,224,ok,outputs/vae_linear_probing_dinov2_single_paperlr/mc2_g14_224/metrics_history.jsonl,
14,SigLIP2 ViT-B/16 (512),siglip2_b16_512,83.134,97.176,0.4,1250,108.120,216.240,512,ok,outputs/vae_linear_probing_dinov2_single_paperlr/siglip2_b16_512/metrics_history.jsonl,
15,"MetaCLIP ViT-H/14 (v1.2, 224)",mc1_h14_224_v1.2,85.638,97.856,0.08,1250,167.294,334.588,224,ok,outputs/vae_linear_probing_dinov2_single_paperlr/mc1_h14_224_v1.2/metrics_history.jsonl,
