model,seed,shot,top1,top5,C,converged
unitok,0,1,39.868,66.476,0.316,True
unitok,0,2,52.272,79.282,0.316,True
unitok,0,4,61.682,86.464,0.316,True
unitok,0,8,67.046,89.718,0.316,True
unitok,0,16,70.626,91.528,0.316,True
toklips,0,1,46.674,71.3,0.316,True
toklips,0,2,59.07,83.106,0.316,True
toklips,0,4,67.774,89.176,0.316,True
toklips,0,8,72.176,91.498,0.316,True
toklips,0,16,74.986,92.854,0.316,True
toklipl,0,1,47.658,72.346,0.316,True
toklipl,0,2,61.5,85.214,0.316,True
toklipl,0,4,71.06,91.662,0.316,True
toklipl,0,8,75.992,93.908,0.316,True
toklipl,0,16,78.496,95.08,0.316,True
vilau,0,1,38.232,60.178,0.316,True
vilau,0,2,52.234,75.752,0.316,True
vilau,0,4,63.256,85.57,0.316,True
vilau,0,8,70.068,90.23,0.316,True
vilau,0,16,73.99,92.5,0.316,True
metaclip,0,1,33.57,58.32,0.316,True
metaclip,0,2,45.906,73.164,0.316,True
metaclip,0,4,56.54,82.708,0.316,True
metaclip,0,8,63.696,87.658,0.316,True
metaclip,0,16,68.426,90.296,0.316,True
