validation_rank,setup_id,model,epoch,iteration,validation_top1_pct,delta_top1_vs_previous_pct,validation_top5_pct,validation_macro_top1_pct,validation_macro_top5_pct,selected_classifier,base_lr,effective_lr,test_top1_pct,test_top5_pct,test_macro_top1_pct,test_macro_top5_pct,output_dir,protocol_fingerprint
1,siglip2_g16_384,siglip2_g16_384,6,390,95.70297002792358,-0.06930828094482422,99.28712844848633,95.70297002792358,99.28712844848633,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_g16_384/seed0,906d755626d7c0d8a6fb74ac2254c9000e10aee472a4f38b53a66fedb346cd48
2,siglip2_g16_256,siglip2_g16_256,6,390,95.26732563972473,0.03960132598876953,99.20791983604431,95.26733160018921,99.20791387557983,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_g16_256/seed0,6e9940abcc1f25779981a2dbc76b519efbc5b1b502f9fb83d932c2ebbff7716a
3,siglip2_sm16_512,siglip2_sm16_512,6,390,95.14851570129395,0.0,99.2178201675415,95.14851570129395,99.21782612800598,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm16_512/seed0,73df1d59a5f4213625f624fe9d9838bee0c926d3d80f545f23db756b2078207a
4,siglip2_sm16_384,siglip2_sm16_384,6,390,95.04950642585754,0.009900331497192383,99.16831851005554,95.04950642585754,99.16831254959106,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm16_384/seed0,2238243a1ae9e6bf690fbe09f0d2453438e5f18cf282ebff201e6b0d9701e0e1
5,siglip2_sm14_384,siglip2_sm14_384,6,390,95.0098991394043,0.0,99.15841817855835,95.0098991394043,99.15841817855835,classifier_fixed_readout_lr_0_4,0.1,0.4,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm14_384/seed0,1dbf332c64b569e3377ea220530b773b5c93c46149f7da427a978c1952aa1f11
6,siglip2_l16_512,siglip2_l16_512,6,390,94.61386203765869,0.059407949447631836,99.06930923461914,94.61386203765869,99.06930327415466,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_l16_512/seed0,60c005c47ae0cf0a7278bb65495cd3eba452049f82c945621d3cb3485cb7c328
7,siglip2_sm16_256,siglip2_sm16_256,6,390,94.58416104316711,-0.12871026992797852,99.10891056060791,94.58415508270264,99.10891056060791,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm16_256/seed0,9281002e2b34aa1f438ee2595fcf1353040d49eab2db9fd56caaabfb424bbba5
8,siglip2_l16_384,siglip2_l16_384,6,390,94.51485276222229,0.009900331497192383,99.0198016166687,94.51485276222229,99.01980757713318,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_l16_384/seed0,a5475395f47848c59b6b77c396f366c0a347c7da21372b3722d1fd2f851825fb
9,siglip2_sm14_224,siglip2_sm14_224,6,390,94.48514580726624,-0.10891556739807129,98.98020029067993,94.48515176773071,98.98020029067993,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm14_224/seed0,8d3dc47ba6b67ebf95976efa79eb650a04145dbefb4bc8cfdd7e75f11e9d243f
10,mc2_g14_378,mc2_g14_378,6,390,94.35643553733826,0.09900927543640137,99.18811917304993,94.35643553733826,99.18811321258545,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_g14_378/seed0,9dc5ee31df0f3639f0060c87f9e6fffe4dfaf0b281d5049706faabf0c4620667
11,siglip2_l16_256,siglip2_l16_256,6,390,94.00990009307861,0.2178192138671875,98.94059300422668,94.00990009307861,98.9405870437622,classifier_fixed_readout_lr_0_4,0.1,0.4,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_l16_256/seed0,3a8fee4cb32865b6bfa83cf1e0bc5770a9fd971aa00386da61ec8544b55d9786
12,mc2_h14_378,mc2_h14_378,6,390,93.86138319969177,0.08910894393920898,98.98020029067993,93.86138916015625,98.98020029067993,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_h14_378/seed0,04e098d7353b2e82ec238f6bb9c9cef1ef490cb621ea892fa79259434ef52b43
13,mc2_g14_224,mc2_g14_224,6,390,93.63366365432739,0.03960132598876953,98.96039366722107,93.63366365432739,98.96039962768555,classifier_fixed_readout_lr_0_04,0.01,0.04,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_g14_224/seed0,8094ad2e870ab1b772f3f2fe10627c6a543d8ee1f71c367f441997fd03c3867e
14,mc1_h14_224_v1.2,mc1_h14_224_v1.2,6,390,93.5247540473938,-0.019800662994384766,98.83168339729309,93.5247540473938,98.83168339729309,classifier_fixed_readout_lr_0_04,0.01,0.04,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc1_h14_224_v1.2/seed0,cb06cb3a68af5a5de689df20c18cef4cc3bba2e893d12f06a0ffb9edd53e985b
15,siglip2_b16_512,siglip2_b16_512,6,390,92.73267388343811,-0.0792086124420166,98.80198240280151,92.73267388343811,98.80198240280151,classifier_fixed_readout_lr_0_8,0.2,0.8,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_b16_512/seed0,e2b879fc4ba9634d7b48819b9741f23364fdfe63bf61b20fed31c706c83b07d8
16,mc1_g14_224_2.5b,mc1_g14_224_2.5b,6,390,92.59405732154846,-0.04950761795043945,98.63366484642029,92.59406328201294,98.63365888595581,classifier_fixed_readout_lr_0_04,0.01,0.04,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc1_g14_224_2.5b/seed0,c1633aaecab65ddfd39f16577b911f13a47d0e5f9667b5870d6a1b621b0c0de6
17,mc2_l14_224,mc2_l14_224,6,390,92.50494837760925,-0.14851689338684082,98.69306683540344,92.50495433807373,98.69306683540344,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_l14_224/seed0,713c706071997dc0b9be77d7c55a26078917b0b1e1cd6cbfb3ee0bacbb1a99e2
