model,shot,n_seeds,seeds,top1_mean,top1_std,top5_mean,top5_std,selected_Cs
unitok,1,3,0 1 2,39.76733333333333,0.2427032939390987,67.12133333333334,0.08375095356007588,0.01 0.01 0.01
unitok,2,3,0 1 2,52.388,0.2521586801995913,79.95066666666666,0.15454305405147167,0.0177827941004 0.0177827941004 0.0177827941004
unitok,4,3,0 1 2,62.12533333333334,0.13983164480506136,87.356,0.10316330096825563,0.0133352143216 0.0133352143216 0.0133352143216
unitok,8,3,0 1 2,68.09533333333333,0.16730278605636661,90.86866666666667,0.15561776533830665,0.01 0.01 0.01
unitok,16,3,0 1 2,71.86,0.19614280511912818,92.69733333333333,0.07943690717936078,0.01 0.00749894209332 0.01
toklips,1,3,0 1 2,46.12266666666667,0.6428485219880531,70.79066666666667,0.43145129762491585,13.3352143216 13.3352143216 7.49894209332
toklips,2,3,0 1 2,59.21333333333333,0.22681759680902608,83.236,0.20435916095606296,5.6234132519 1.77827941004 7.49894209332
toklips,4,3,0 1 2,67.63333333333333,0.10753397395965239,88.92133333333334,0.12216200536809609,0.56234132519 0.316227766017 1
toklips,8,3,0 1 2,72.33999999999999,0.03680579664491083,91.666,0.08260750571225667,0.1 0.056234132519 0.056234132519
toklips,16,3,0 1 2,75.14133333333334,0.13226572580310667,93.17866666666667,0.05833999961908899,0.056234132519 0.056234132519 0.1
toklipl,1,3,0 1 2,47.879999999999995,0.5531750777707439,73.00533333333333,0.24495623191818833,17.7827941004 13.3352143216 5.6234132519
toklipl,2,3,0 1 2,62.49,0.11186897097348643,85.89066666666668,0.0679673124049742,4.21696503429 7.49894209332 10
toklipl,4,3,0 1 2,70.99,0.00864098759788113,91.30066666666666,0.12859583542591715,5.6234132519 4.21696503429 0.316227766017
toklipl,8,3,0 1 2,75.81,0.10246300145255494,93.81200000000001,0.013063945294842179,0.237137370566 0.237137370566 0.56234132519
toklipl,16,3,0 1 2,78.65933333333334,0.14415115523489974,95.20733333333334,0.05956135958451367,0.1 0.0749894209332 0.1
vilau,1,3,0 1 2,38.64266666666666,0.43910616281512377,60.48466666666667,0.1909438544587288,5.6234132519 5.6234132519 10
vilau,2,3,0 1 2,52.81,0.5101320090590928,76.26133333333333,0.16989670064156182,7.49894209332 4.21696503429 7.49894209332
vilau,4,3,0 1 2,63.82333333333333,0.3218543493914922,85.62866666666666,0.2281890054805967,3.16227766017 4.21696503429 1.77827941004
vilau,8,3,0 1 2,70.154,0.16369076536770627,90.05400000000002,0.14485855169785403,4.21696503429 1 4.21696503429
vilau,16,3,0 1 2,73.90466666666667,0.2102083622398365,92.7,0.04245782220824009,0.0421696503429 0.0421696503429 0.056234132519
metaclip,1,3,0 1 2,33.34466666666666,0.28028715434156054,58.596000000000004,0.23522471525472669,0.01 0.01 0.01
metaclip,2,3,0 1 2,45.86333333333334,0.2386424568726672,73.28466666666667,0.3809543571377336,3.16227766017 0.56234132519 1.33352143216
metaclip,4,3,0 1 2,56.593333333333334,0.10471973177115293,82.566,0.23084193726443614,1 0.56234132519 0.56234132519
metaclip,8,3,0 1 2,63.56733333333333,0.030652170486861027,87.706,0.1973896316088278,0.316227766017 0.177827941004 0.0237137370566
metaclip,16,3,0 1 2,68.48,0.037345236197763185,90.75600000000001,0.06046486583131976,0.0177827941004 0.0177827941004 0.0177827941004
