model,seed,shot,top1,top5,selected_C,selection_top1,converged
unitok,2,1,39.666,67.01,0.01,40.637391114302666,True
unitok,2,2,52.744,80.126,0.01778279410038923,53.99169502638234,True
unitok,2,4,62.186,87.456,0.01333521432163324,64.24958631240439,True
unitok,2,8,68.254,90.886,0.01,70.16141621655375,True
unitok,2,16,72.022,92.706,0.01,74.04773798744887,True
toklips,2,1,45.522,70.182,7.498942093324558,46.87704892441225,True
toklips,2,2,59.516,83.314,7.498942093324558,61.23747229073652,True
toklips,2,4,67.696,89.082,1.0,69.71650691560772,True
toklips,2,8,72.312,91.736,0.05623413251903491,74.28736457585313,True
toklips,2,16,75.162,93.098,0.1,77.16288363670424,True
toklipl,2,1,47.932,73.008,5.623413251903491,49.4200568235037,True
toklipl,2,2,62.628,85.97,10.0,64.25973336663648,True
toklipl,2,4,70.978,91.482,0.31622776601683794,72.92531768085173,True
toklipl,2,8,75.668,93.812,0.5623413251903491,77.47666177526617,True
toklipl,2,16,78.7,95.29,0.1,80.44896812263886,True
vilau,2,1,38.772,60.384,10.0,39.74132817134472,True
vilau,2,2,52.966,76.466,7.498942093324558,54.335133785007336,True
vilau,2,4,63.788,85.724,1.7782794100389228,65.46098847919073,True
vilau,2,8,70.362,90.04,4.216965034285822,72.24858721783384,True
vilau,2,16,74.104,92.732,0.05623413251903491,76.17393612039089,True
metaclip,2,1,33.74,58.902,0.01,34.496081675981145,True
metaclip,2,2,46.148,73.792,1.333521432163324,47.46948078304037,True
metaclip,2,4,56.726,82.892,0.5623413251903491,58.373661369383996,True
metaclip,2,8,63.59,87.936,0.023713737056616554,65.43445002966062,True
metaclip,2,16,68.498,90.736,0.01778279410038923,70.66720784289238,True
