run,task,model,selected_configured_lr,selected_effective_lr,selected_n_last_blocks,selected_avgpool,validation_top1_percent,lr_boundary,intended_grid_boundary,intended_heads,evaluated_heads,missing_heads,lr_scale
caltech101/metaclip,caltech101,metaclip,0.01,0.005,4,False,97.77,interior,interior,52,48,4,0.5
caltech101/toklipl,caltech101,toklipl,0.05,0.025,1,False,93.5,interior,interior,52,48,4,0.5
caltech101/toklips,caltech101,toklips,0.02,0.01,1,True,93.18,interior,interior,52,48,4,0.5
caltech101/unitok,caltech101,unitok,0.01,0.005,4,True,95.93,interior,interior,52,48,4,0.5
caltech101/vilau,caltech101,vilau,0.02,0.01,1,False,95.71,interior,interior,52,48,4,0.5
cifar100/metaclip,cifar100,metaclip,0.1,0.05,1,True,86.31,high,high,52,48,4,0.5
cifar100/toklipl,cifar100,toklipl,0.1,0.05,4,False,82.36,high,high,52,48,4,0.5
cifar100/toklips,cifar100,toklips,0.05,0.025,4,True,84.35,interior,interior,52,48,4,0.5
cifar100/unitok,cifar100,unitok,0.02,0.01,4,False,86.48,interior,interior,52,48,4,0.5
cifar100/vilau,cifar100,vilau,0.1,0.05,1,False,86.39,high,high,52,48,4,0.5
dtd/metaclip,dtd,metaclip,0.005,0.0025,1,True,81.33,interior,interior,52,48,4,0.5
dtd/toklipl,dtd,toklipl,0.01,0.005,4,False,82.71,interior,interior,52,48,4,0.5
dtd/toklips,dtd,toklips,0.01,0.005,1,False,81.01,interior,interior,52,48,4,0.5
dtd/unitok,dtd,unitok,0.005,0.0025,4,False,81.01,interior,interior,52,48,4,0.5
dtd/vilau,dtd,vilau,0.005,0.0025,4,False,83.35,interior,interior,52,48,4,0.5
fgvc_aircraft/metaclip,fgvc_aircraft,metaclip,0.1,0.05,1,False,62.89,high,high,52,48,4,0.5
fgvc_aircraft/toklipl,fgvc_aircraft,toklipl,0.1,0.05,4,False,67.54,high,high,52,48,4,0.5
