run,task,model,classifier,configured_lr,effective_lr,n_last_blocks,avgpool,status,validation_top1_percent,validation_top5_percent,is_selected,name_collision_size
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_False_lr_0_00001,1e-05,5e-06,1,False,missing_name_collision,,,False,2
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_False_lr_0_00001,2e-05,1e-05,1,False,evaluated,5.28,17.66,False,2
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_False_lr_0_00003,5e-05,2.5e-05,1,False,evaluated,40.04,70.89,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_False_lr_0_00005,0.0001,5e-05,1,False,evaluated,77.49,96.51,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_False_lr_0_00010,0.0002,0.0001,1,False,evaluated,89.07,99.59,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_False_lr_0_00025,0.0005,0.00025,1,False,evaluated,93.52,99.88,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_False_lr_0_00050,0.001,0.0005,1,False,evaluated,94.07,99.91,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_False_lr_0_00100,0.002,0.001,1,False,evaluated,95.77,99.89,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_False_lr_0_00250,0.005,0.0025,1,False,evaluated,96.92,99.93,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_False_lr_0_00500,0.01,0.005,1,False,evaluated,97.11,99.91,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_False_lr_0_01000,0.02,0.01,1,False,evaluated,96.95,99.89,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_False_lr_0_02500,0.05,0.025,1,False,evaluated,96.39,99.93,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_False_lr_0_05000,0.1,0.05,1,False,evaluated,95.89,99.91,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_True_lr_0_00001,1e-05,5e-06,1,True,missing_name_collision,,,False,2
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_True_lr_0_00001,2e-05,1e-05,1,True,evaluated,5.7,20.01,False,2
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_True_lr_0_00003,5e-05,2.5e-05,1,True,evaluated,47.46,81.0,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_True_lr_0_00005,0.0001,5e-05,1,True,evaluated,81.96,97.31,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_True_lr_0_00010,0.0002,0.0001,1,True,evaluated,89.18,99.52,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_True_lr_0_00025,0.0005,0.00025,1,True,evaluated,93.84,99.88,False,1
caltech101/metaclip,caltech101,metaclip,classifier_1_blocks_avgpool_True_lr_0_00050,0.001,0.0005,1,True,evaluated,94.58,99.89,False,1
