run,task,model,configured_lr,effective_lr,status,best_validation_top1_percent,best_validation_top5_percent,best_n_last_blocks,best_avgpool,is_selected_lr,evaluated_grid_boundary,intended_grid_boundary
caltech101/metaclip,caltech101,metaclip,1e-05,5e-06,missing_name_collision,,,,,False,,low
caltech101/metaclip,caltech101,metaclip,2e-05,1e-05,evaluated,12.41,29.82,4,True,False,low,interior
caltech101/metaclip,caltech101,metaclip,5e-05,2.5e-05,evaluated,60.58,85.66,4,True,False,interior,interior
caltech101/metaclip,caltech101,metaclip,0.0001,5e-05,evaluated,83.99,97.08,4,False,False,interior,interior
caltech101/metaclip,caltech101,metaclip,0.0002,0.0001,evaluated,91.82,99.36,4,False,False,interior,interior
caltech101/metaclip,caltech101,metaclip,0.0005,0.00025,evaluated,95.17,99.88,4,True,False,interior,interior
caltech101/metaclip,caltech101,metaclip,0.001,0.0005,evaluated,96.53,99.89,4,True,False,interior,interior
caltech101/metaclip,caltech101,metaclip,0.002,0.001,evaluated,97.31,99.91,4,True,False,interior,interior
caltech101/metaclip,caltech101,metaclip,0.005,0.0025,evaluated,97.63,99.89,4,True,False,interior,interior
caltech101/metaclip,caltech101,metaclip,0.01,0.005,evaluated,97.77,99.89,4,False,True,interior,interior
caltech101/metaclip,caltech101,metaclip,0.02,0.01,evaluated,97.33,99.91,4,True,False,interior,interior
caltech101/metaclip,caltech101,metaclip,0.05,0.025,evaluated,96.6,99.91,4,False,False,interior,interior
caltech101/metaclip,caltech101,metaclip,0.1,0.05,evaluated,96.26,99.88,4,False,False,high,high
caltech101/toklipl,caltech101,toklipl,1e-05,5e-06,missing_name_collision,,,,,False,,low
caltech101/toklipl,caltech101,toklipl,2e-05,1e-05,evaluated,7.05,23.91,4,True,False,low,interior
caltech101/toklipl,caltech101,toklipl,5e-05,2.5e-05,evaluated,41.46,67.82,4,False,False,interior,interior
caltech101/toklipl,caltech101,toklipl,0.0001,5e-05,evaluated,75.3,96.33,4,False,False,interior,interior
