rank	tokenizer	model	feature_dim	dtype	rows	feature_file	representation
1	clip_openai__l14	clip_openai__l14	1024	float32	200000	features/001_clip_openai__l14.npy	final post-LayerNorm CLS before the OpenAI CLIP 1024-to-768 visual projection
2	dino_vitb16	dinov1_vitb16	1536	float32	200000	features/002_dino_vitb16.npy	concat(final normalized CLS, mean(final normalized patch tokens)); excludes 0 register token(s)
3	dino_vitb8	dinov1_vitb8	1536	float32	200000	features/003_dino_vitb8.npy	concat(final normalized CLS, mean(final normalized patch tokens)); excludes 0 register token(s)
4	dino_vits16	dinov1_vits16	768	float32	200000	features/004_dino_vits16.npy	concat(final normalized CLS, mean(final normalized patch tokens)); excludes 0 register token(s)
5	dino_vits8	dinov1_vits8	768	float32	200000	features/005_dino_vits8.npy	concat(final normalized CLS, mean(final normalized patch tokens)); excludes 0 register token(s)
6	dinov2_base	dinov2_base	1536	float32	200000	features/006_dinov2_base.npy	concat(final normalized CLS, mean(final normalized patch tokens)); excludes 0 register token(s)
7	dinov2_giant	dinov2_giant	3072	float32	200000	features/007_dinov2_giant.npy	concat(final normalized CLS, mean(final normalized patch tokens)); excludes 0 register token(s)
8	dinov2_large	dinov2_large	2048	float32	200000	features/008_dinov2_large.npy	concat(final normalized CLS, mean(final normalized patch tokens)); excludes 0 register token(s)
9	dinov2_small	dinov2_small	768	float32	200000	features/009_dinov2_small.npy	concat(final normalized CLS, mean(final normalized patch tokens)); excludes 0 register token(s)
10	dinov3_vitl16	dinov3_vitl16_lvd1689m	2048	float32	200000	features/010_dinov3_vitl16.npy	concat(final normalized CLS, mean(final normalized patch tokens)); excludes 4 register token(s)
11	toklip_l_384	toklip_l	1152	float32	200000	features/011_toklip_l_384.npy	mean of final normalized TokLIP semantic tokens; forward_head is not used
12	toklip_s_256	toklip_s	1152	float32	200000	features/012_toklip_s_256.npy	mean of final normalized TokLIP semantic tokens; forward_head is not used
13	uniar_bsq	uniar_bsq	4096	float32	200000	features/013_uniar_bsq.npy	mean of UniAR block 27 tokens after 64-bit BSQ quantize/dequantize, BSQ output projection, and the official 2x2 patch merger
14	unitok_attn	unitok	1024	float32	200000	features/014_unitok_attn.npy	quantize/dequantize -> post_quant_proj -> token mean -> fc_norm, before UniTok projection
15	vilau_256	vilau	1024	float32	200000	features/015_vilau_256.npy	mean of the penultimate VILA-U SigLIP encoder-block tokens
16	eupe_convnext_b	eupe_convnext_b	1024	float32	200000	features/016_eupe_convnext_b.npy	EUPE ConvNeXt final-stage global average pooling after the released final LayerNorm
17	eupe_vit_b	eupe_vit_b	1536	float32	200000	features/017_eupe_vit_b.npy	concat(final normalized EUPE CLS, mean(final normalized patch tokens)); excludes 4 storage tokens
18	eupe_vit_s	eupe_vit_s	768	float32	200000	features/018_eupe_vit_s.npy	concat(final normalized EUPE CLS, mean(final normalized patch tokens)); excludes 4 storage tokens
19	eupe_vit_t	eupe_vit_t	384	float32	200000	features/019_eupe_vit_t.npy	concat(final normalized EUPE CLS, mean(final normalized patch tokens)); excludes 4 storage tokens
20	ijepa_vith14	ijepa	1280	float32	200000	features/020_ijepa_vith14.npy	spatial mean of the normalized RAEv2 I-JEPA-H/14 K=1 tokenizer latent
21	mc1_b16_224_2.5b	mc1_b16_224_2.5b	768	float32	200000	features/021_mc1_b16_224_2.5b.npy	final normalized CLS before the MetaCLIP 768-to-512 projection
22	mc1_b16_224_400m	mc1_b16_224_400m	768	float32	200000	features/022_mc1_b16_224_400m.npy	final normalized CLS before the MetaCLIP 768-to-512 projection
23	mc1_b32_224_2.5b	mc1_b32_224_2.5b	768	float32	200000	features/023_mc1_b32_224_2.5b.npy	final normalized CLS before the MetaCLIP 768-to-512 projection
24	mc1_b32_224_400m	mc1_b32_224_400m	768	float32	200000	features/024_mc1_b32_224_400m.npy	final normalized CLS before the MetaCLIP 768-to-512 projection
25	mc1_g14_224_2.5b	mc1_g14_224_2.5b	1664	float32	200000	features/025_mc1_g14_224_2.5b.npy	final normalized CLS before the MetaCLIP 1664-to-1280 projection
26	mc1_h14_224_2.5b	mc1_h14_224_2.5b	1280	float32	200000	features/026_mc1_h14_224_2.5b.npy	final normalized CLS before the MetaCLIP 1280-to-1024 projection
27	mc1_h14_224_v1.2	mc1_h14_224_v1.2	1280	float32	200000	features/027_mc1_h14_224_v1.2.npy	final normalized CLS before the MetaCLIP 1280-to-1024 projection
28	mc1_l14_224_2.5b	mc1_l14_224_2.5b	1024	float32	200000	features/028_mc1_l14_224_2.5b.npy	final normalized CLS before the MetaCLIP 1024-to-768 projection
29	mc1_l14_224_400m	mc1_l14_224_400m	1024	float32	200000	features/029_mc1_l14_224_400m.npy	final normalized CLS before the MetaCLIP 1024-to-768 projection
30	mc2_b16_224	mc2_b16_224	768	float32	200000	features/030_mc2_b16_224.npy	final normalized CLS before the MetaCLIP 2 768-to-512 projection
31	mc2_b16_384	mc2_b16_384	768	float32	200000	features/031_mc2_b16_384.npy	final normalized CLS before the MetaCLIP 2 768-to-512 projection
32	mc2_b32_224	mc2_b32_224	768	float32	200000	features/032_mc2_b32_224.npy	final normalized CLS before the MetaCLIP 2 768-to-512 projection
33	mc2_b32_224_mt5	mc2_b32_224_mt5	768	float32	200000	features/033_mc2_b32_224_mt5.npy	final normalized CLS before the MetaCLIP 2 768-to-512 projection
34	mc2_b32_384	mc2_b32_384	768	float32	200000	features/034_mc2_b32_384.npy	final normalized CLS before the MetaCLIP 2 768-to-512 projection
35	mc2_g14_224	mc2_g14_224	1664	float32	200000	features/035_mc2_g14_224.npy	final normalized CLS before the MetaCLIP 2 1664-to-1280 projection
36	mc2_g14_378	mc2_g14_378	1664	float32	200000	features/036_mc2_g14_378.npy	final normalized CLS before the MetaCLIP 2 1664-to-1280 projection
37	mc2_h14_378	mc2_h14_378	1280	float32	200000	features/037_mc2_h14_378.npy	final normalized CLS before the MetaCLIP 2 1280-to-1024 projection
38	mc2_l14_224	mc2_l14_224	1024	float32	200000	features/038_mc2_l14_224.npy	final normalized CLS before the MetaCLIP 2 1024-to-768 projection
39	mc2_m16_224	mc2_m16_224	512	float32	200000	features/039_mc2_m16_224.npy	final normalized CLS before the MetaCLIP 2 512-to-512 projection
40	mc2_m16_224_mt5	mc2_m16_224_mt5	512	float32	200000	features/040_mc2_m16_224_mt5.npy	final normalized CLS before the MetaCLIP 2 512-to-512 projection
41	mc2_m16_384	mc2_m16_384	512	float32	200000	features/041_mc2_m16_384.npy	final normalized CLS before the MetaCLIP 2 512-to-512 projection
42	mc2_s16_224	mc2_s16_224	384	float32	200000	features/042_mc2_s16_224.npy	final normalized CLS before the MetaCLIP 2 384-to-384 projection
43	mc2_s16_224_mt5	mc2_s16_224_mt5	384	float32	200000	features/043_mc2_s16_224_mt5.npy	final normalized CLS before the MetaCLIP 2 384-to-384 projection
44	mc2_s16_384	mc2_s16_384	384	float32	200000	features/044_mc2_s16_384.npy	final normalized CLS before the MetaCLIP 2 384-to-384 projection
45	pe_core_b16_224	pe_core_b16_224	768	float32	200000	features/045_pe_core_b16_224.npy	PE-Core learned attention-pool output before the released CLIP projection
46	pe_core_g14_448	pe_core_g14_448	1536	float32	200000	features/046_pe_core_g14_448.npy	PE-Core learned attention-pool output before the released CLIP projection
47	pe_lang_l14_448	pe_lang_l14_448	1024	float32	200000	features/047_pe_lang_l14_448.npy	mean of last-layer Perception Encoder patch tokens, excluding any CLS token
48	pixio_vitb16	pixio_vitb16	768	float32	200000	features/048_pixio_vitb16.npy	mean of the eight final-LayerNorm Pixio CLS tokens
49	pixio_vith16	pixio_vith16	1280	float32	200000	features/049_pixio_vith16.npy	mean of the eight final-LayerNorm Pixio CLS tokens
50	pixio_vitl16	pixio_vitl16	1024	float32	200000	features/050_pixio_vitl16.npy	mean of the eight final-LayerNorm Pixio CLS tokens
51	raev2_dinov3l_k7	raev2_dinov3l_k7	1024	float32	200000	features/051_raev2_dinov3l_k7.npy	spatial mean of the normalized RAEv2 DINOv3-L/16 K=7 multi-layer tokenizer latent
52	siglip2_b16_224	siglip2_b16_224	768	float32	200000	features/052_siglip2_b16_224.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
53	siglip2_b16_256	siglip2_b16_256	768	float32	200000	features/053_siglip2_b16_256.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
54	siglip2_b16_384	siglip2_b16_384	768	float32	200000	features/054_siglip2_b16_384.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
55	siglip2_b16_512	siglip2_b16_512	768	float32	200000	features/055_siglip2_b16_512.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
56	siglip2_b32_256	siglip2_b32_256	768	float32	200000	features/056_siglip2_b32_256.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
57	siglip2_g16_256	siglip2_g16_256	1536	float32	200000	features/057_siglip2_g16_256.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
58	siglip2_g16_384	siglip2_g16_384	1536	float32	200000	features/058_siglip2_g16_384.npy	native SigLIP 2 model(images) [B,D] output after MAP attention pooling
