run,top1,top1_percent,effective_lr,iteration,status
clip_meta__l14,0.8452000021934509,84.52,0.08,12500,complete
clip_openai__l14,0.8469799757003784,84.70,0.08,12500,complete
mc1_b16_224_2.5b,0.8021199703216553,80.21,0.2,12500,complete
mc1_b16_224_400m,0.7950599789619446,79.51,0.2,12500,complete
mc1_b32_224_2.5b,0.766040027141571,76.60,0.2,12500,complete
mc1_b32_224_400m,0.7559000253677368,75.59,0.2,12500,complete
mc1_g14_224_2.5b,0.8611999750137329,86.12,0.04,5000,partial
mc1_h14_224_2.5b,0.8543400168418884,85.43,0.08,12500,complete
mc1_l14_224_2.5b,0.8452399969100952,84.52,0.08,12500,complete
mc1_l14_224_400m,0.8334599733352661,83.35,0.08,12500,complete
mc2_g14_224,0.8745599985122681,87.46,0.08,12500,complete
mc2_m16_224,0.7757999897003174,77.58,0.2,12500,complete
mc2_m16_224_mt5,0.7762399911880493,77.62,0.2,12500,complete
mc2_s16_224,0.7416399717330933,74.16,0.8,12500,complete
mc2_s16_224_mt5,0.7202000021934509,72.02,0.4,12500,complete
metaclip_b16_2pt5b,0.8021199703216553,80.21,0.2,12500,complete
siglip2_b16_224,0.8367800116539001,83.68,1.2,12500,complete
siglip2_b32_256,0.7937999963760376,79.38,0.4,7500,partial
toklip_l_semantic_384,0.8260999917984009,82.61,1.2,12500,complete
toklip_s_semantic_256,0.7940999865531921,79.41,1.2,12500,complete
unitok,0.8041599988937378,80.42,0.4,12500,complete
vilau_7b_256_semantic_penultimate,0.8347799777984619,83.48,0.4,12500,complete
