rank,tokenizer,qwen3_1.7b,qwen2.5_1.5b,smollm2_1.7b
1,siglip2_sm14_384,54.06,54.49,45.57
2,siglip2_g16_384,54.56,54.25,42.97
3,siglip2_l16_384,52.56,53.01,45.86
4,siglip2_sm16_512,52.51,54.97,42.37
5,siglip2_sm16_384,51.75,53.12,44.08
6,siglip2_g16_256,51.02,53.87,43.75
7,mc2_g14_378,47.08,52.56,45.93
8,siglip2_sm14_224,49.12,53.02,42.81
9,pe_core_g14_448,48.58,51.88,42.41
10,siglip2_sm16_256,49.12,51.40,41.94
11,siglip2_l16_256,49.09,50.76,42.35
12,mc1_g14_224_2.5b,47.70,49.86,43.19
13,mc2_g14_224,48.84,50.77,40.90
14,siglip2_b16_512,48.51,50.16,40.72
15,mc1_h14_224_v1.2,48.67,51.16,39.42
16,clip_openai__l14,47.83,49.76,40.51
17,mc1_h14_224_2.5b,46.40,48.92,40.26
18,mc1_l14_224_2.5b,46.08,48.78,40.68
19,siglip2_b16_384,42.53,50.50,42.17
20,siglip2_b16_256,46.91,47.62,39.20
21,siglip2_b16_224,46.60,47.83,38.90
22,mc2_l14_224,40.43,49.46,41.39
23,mc1_l14_224_400m,45.89,47.08,37.57
24,mc2_b16_384,44.29,46.85,38.80
25,siglip2_l16_512,39.19,54.47,35.82
26,pe_lang_l14_448,39.90,45.62,42.48
27,webssl_dino1b_full2b_224,43.65,44.26,39.97
28,pe_core_b16_224,45.51,45.91,35.77
29,mc2_h14_378,40.52,50.89,34.88
30,mc2_b16_224,43.65,45.56,36.88
31,mc1_b16_224_400m,44.05,44.78,36.89
32,mc1_b16_224_2.5b,43.90,44.74,37.05
33,mc2_m16_384,42.93,44.79,37.60
34,siglip2_b32_256,42.50,45.23,37.22
35,mc2_b32_384,43.37,43.07,35.40
36,pixio_vitl16,39.82,45.95,34.57
37,dinov2_giant,40.48,44.42,34.99
38,toklip_l_384,38.23,43.99,36.98
39,eupe_convnext_b,37.71,44.04,36.73
40,mc2_m16_224_mt5,40.42,43.25,34.54
41,dinov2_large,36.27,43.08,37.48
42,mc2_m16_224,38.76,43.34,34.47
43,unitok_attn,41.48,42.50,32.25
44,mc2_s16_384,40.91,41.58,33.16
45,toklip_s_256,39.02,40.76,34.47
46,mc2_s16_224_mt5,39.12,41.35,33.48
47,mc2_b32_224,38.24,41.35,34.05
48,pixio_vitb16,39.41,41.00,33.11
49,vilau_256,39.45,40.53,33.33
50,dinov3_vitl16,39.46,36.88,36.59
51,eupe_vit_b,34.62,41.52,35.74
52,mc2_b32_224_mt5,35.39,41.62,34.59
53,mc1_b32_224_2.5b,38.43,39.04,34.06
54,eupe_vit_s,37.51,41.11,32.79
55,mc2_s16_224,39.77,41.05,30.59
56,dinov2_base,33.98,41.31,32.10
57,dinov2_small,36.34,38.78,32.25
58,pixio_vith16,33.67,36.07,36.96
59,ijepa_vith14,36.56,36.48,33.23
60,uniar_bsq,34.90,40.87,30.24
61,mc1_b32_224_400m,34.69,37.63,33.12
62,raev2_dinov3l_k7,33.52,36.26,33.09
63,dino_vitb16,33.42,34.84,30.93
64,webssl_mae3b_full2b_224,30.63,36.13,25.34
65,webssl_mae300m_full2b_224,28.85,33.59,29.34
66,eupe_vit_t,34.74,26.94,29.68
67,dino_vits8,32.64,30.68,26.05
68,dino_vitb8,29.32,31.33,28.59
69,dino_vits16,29.93,29.69,28.70
70,webssl_mae1b_full2b_224,29.70,33.73,23.84
