model,class,validation_AP_11point,test_AP_11point
unitok,aeroplane,99.85795454545456,99.77823869343456
unitok,bicycle,90.19965597511447,91.64612310627943
unitok,bird,98.79138202837628,92.49845009299445
unitok,boat,95.4786508646603,94.542351709212
unitok,bottle,65.89831815844126,67.76585862290457
unitok,bus,91.95546244581838,91.15254017820553
unitok,car,90.97308622604652,90.3074081946986
unitok,cat,93.98655818889284,93.34645371281509
unitok,chair,74.52236198691054,70.75377808109
unitok,cow,98.989898989899,92.2848405417213
unitok,diningtable,85.63595881419226,88.99916144835584
unitok,dog,93.81498267128767,93.26085530630986
unitok,horse,95.77392304665034,94.28888614777354
unitok,motorbike,91.64501695449499,92.32508218578683
unitok,person,94.39349294107802,94.71475040147814
unitok,pottedplant,64.6008163810214,67.52281682104837
unitok,sheep,93.81542699724518,95.26057304402556
unitok,sofa,84.87256411772633,82.1230645645798
unitok,train,94.90876194368711,99.55972890547466
unitok,tvmonitor,84.03451870473712,83.15068953251892
vilau,aeroplane,99.3069961985714,98.8955632004923
vilau,bicycle,88.4990017438307,90.97736589623
vilau,bird,94.07298038388528,92.12812864738686
vilau,boat,90.98064058085508,91.46785023629688
vilau,bottle,66.15705120028174,69.46517692394639
vilau,bus,91.53955423278452,90.31738867080715
vilau,car,90.31397969294134,90.84761686799087
vilau,cat,93.68421052631581,92.22901057893478
vilau,chair,75.27181861182733,73.80356836048439
vilau,cow,98.43260188087777,93.69344126193442
vilau,diningtable,82.34310940994472,88.35760047614937
vilau,dog,91.74966303871017,92.63190172435105
vilau,horse,95.73028654335488,92.52292702705925
vilau,motorbike,92.64583101847904,92.15046289300575
vilau,person,94.6435051649045,94.99249618801743
vilau,pottedplant,61.63756108706553,71.22784201990363
vilau,sheep,91.96493146076867,92.27944360251138
vilau,sofa,83.06839905832042,81.8433622123523
vilau,train,99.79691390782547,99.69470827679785
vilau,tvmonitor,81.67511549153855,85.0360322785442
metaclip,aeroplane,99.78858350951376,99.86673424624017
metaclip,bicycle,89.9091108050466,92.18335707446417
metaclip,bird,95.35090316849276,92.31761481761484
metaclip,boat,94.22180728984326,95.23908466965749
metaclip,bottle,68.3427379896831,71.87588917043453
metaclip,bus,91.71547367727975,91.59929510531984
metaclip,car,91.50092425644085,91.1785744563589
metaclip,cat,93.5810810810811,93.04422783635039
metaclip,chair,73.29222679837774,74.7760371288764
metaclip,cow,95.12090853329866,94.04019535944657
metaclip,diningtable,87.64877665171002,88.17078916063184
metaclip,dog,92.16898803675664,94.00109809162619
metaclip,horse,97.40947102014108,94.63242288354398
metaclip,motorbike,92.05951369502773,92.4016555563695
metaclip,person,95.53472768565376,94.75851900259777
metaclip,pottedplant,68.30145328561763,75.08175505441976
metaclip,sheep,97.31406994660838,95.31473383231017
metaclip,sofa,87.21196852099895,86.87106903110083
metaclip,train,99.66814268873767,96.15080155332075
metaclip,tvmonitor,84.3564625901478,87.2648058514728
toklips,aeroplane,100.00000000000003,99.74025974025976
toklips,bicycle,89.60579653318472,91.51478065911057
toklips,bird,92.3485283758278,92.32770137895548
toklips,boat,94.06026873559341,94.05839265251016
toklips,bottle,70.12160294184262,71.98415244461923
toklips,bus,89.760247216584,90.65820338830721
toklips,car,92.34122876605728,92.39541021816713
toklips,cat,93.41991341991344,92.72614412279219
toklips,chair,83.52837007706088,81.12880849410723
toklips,cow,91.79122764028426,91.62636276419457
toklips,diningtable,86.35158934284507,90.84833979139472
toklips,dog,92.68015273377206,92.67457351162929
toklips,horse,93.07726090334786,93.52630488188596
toklips,motorbike,92.24285104566796,91.50882777074351
toklips,person,94.41125682951618,94.93436930515253
toklips,pottedplant,68.49781777059314,75.61858627143413
toklips,sheep,94.91550116550118,92.35895914279045
toklips,sofa,91.1419237126673,91.80657437516261
toklips,train,94.8840565119635,96.96190698761394
toklips,tvmonitor,88.12111377100976,88.07115230523112
toklipl,aeroplane,99.92841803865427,99.91173874669023
toklipl,bicycle,90.85894873269041,91.48677454968379
toklipl,bird,97.22222222222224,91.88127003826665
toklipl,boat,95.1995248932008,95.92901416765055
toklipl,bottle,73.09202308017753,75.3872484902793
toklipl,bus,93.76027701950397,92.88989810462205
toklipl,car,92.21921014942511,92.59585130359238
toklipl,cat,93.96279396279398,94.0398638794361
toklipl,chair,85.26490127537262,81.98624011846806
toklipl,cow,100.00000000000003,95.56507699950323
toklipl,diningtable,87.9510388243019,92.66971223480257
toklipl,dog,92.62408369365487,92.88218957625327
toklipl,horse,96.10207680250785,95.15443724216411
toklipl,motorbike,93.6605767114242,91.95726320232251
toklipl,person,95.25662068547052,95.77918908368966
toklipl,pottedplant,72.46805942669073,77.67247772207368
toklipl,sheep,98.06259314456037,98.71279163314564
toklipl,sofa,92.92429792429793,92.0935757810852
toklipl,train,99.73649538866933,98.69513742071882
toklipl,tvmonitor,89.52844596967655,89.74752315347496
