Tokenizer,Family,qwen3 1.7B,,,,,,,,,,,,qwen2.5 1.5B,,,,,,,,,,,
,,MMMU,MMBench,VQAv2,ScienceQA,ChartQA,DocVQA,TextVQA,POPE,GQA,COCO,Flickr,Avg,MMMU,MMBench,VQAv2,ScienceQA,ChartQA,DocVQA,TextVQA,POPE,GQA,COCO,Flickr,Avg
siglip2_g16_384,continuous,32.4,61.39,67.72,68.4,14.4,25.22,48.88,91.82,54.47,81.97,53.53,54.56,34.1,70.27,68.07,66.8,15.1,24.62,50.33,84.65,53.56,77.92,51.37,54.25
siglip2_l16_384,continuous,32.7,63.71,65.14,66.3,14.7,21.45,45.17,90.14,53.15,78.08,47.6,52.56,35.2,64.09,64.21,66,13.9,18.89,41.45,89.73,52.64,84.15,52.84,53.01
siglip2_g16_256,continuous,33.5,67.18,64.62,65.3,11.6,16.59,39.18,87.88,52.74,76.16,46.45,51.02,34.6,66.8,68.08,66.8,12.4,15.92,39.51,91.21,53.86,85.89,57.45,53.87
siglip2_l16_256,continuous,33.3,61,62.45,66.9,11.3,14.39,35.96,83.08,52.54,74.3,44.81,49.09,34.5,63.71,64.12,65.4,12.3,15.44,38.19,89.32,51.32,75.6,48.44,50.76
mc2_g14_224,continuous,32.7,63.71,62.16,64.3,11.7,14.43,32.55,85.93,51.22,73.08,45.49,48.84,36.2,64.86,63.96,63.5,11.5,15.44,34.35,89.54,51.93,76.75,50.45,50.77
mc1_h14_224_v1.2,continuous,34.1,61.78,63.81,63.9,10.9,13.8,31.48,87.87,49.7,72.17,45.88,48.67,37.3,66.41,64.56,65,11.1,14.72,34.05,83.59,52.95,82.66,50.42,51.16
siglip2_b16_512,continuous,32.6,60.23,60.41,61.7,13.7,18.74,38.13,86.31,51.52,67.14,43.12,48.51,34.7,63.32,62.78,64.4,13,20.67,35.9,88.67,51.22,72.31,44.84,50.16
clip_openai__l14,continuous,33.7,62.55,61.16,64.6,12.4,14.73,32.85,85.21,49.59,68.61,40.71,47.83,33.6,66.41,61.17,64.6,11.8,14.17,32.56,89.18,51.32,74.11,48.42,49.76
mc1_g14_224_2.5b,continuous,34.6,61.39,61.24,64.3,12.4,13.85,31.2,84.21,50.1,68.09,43.33,47.7,35,69.11,63.56,65.4,11.5,14.84,31.9,88.52,50.71,69.57,48.4,49.86
mc2_g14_378,continuous,33.1,60.62,59.7,63.2,11.9,15.59,31.83,84.43,48.98,67.13,41.36,47.08,38.1,66.41,65.04,65,13.6,20.62,39.14,88.82,52.95,76.55,51.97,52.56
siglip2_b16_256,continuous,33.8,61.39,61.12,66.9,11.1,13.77,28.42,89.73,50,63.77,36.01,46.91,33.7,64.86,62.53,64.7,12,11.89,29.16,82,51.63,68.42,42.89,47.62
siglip2_b16_224,continuous,31.5,58.3,59.71,65.2,12,13.38,28.24,89.31,51.83,64.23,38.95,46.6,32.7,64.86,63.27,65.1,11.2,11.83,26.96,78.87,53.05,73.94,44.37,47.83
mc1_h14_224_2.5b,continuous,35.4,58.69,59.53,63.6,12,13.13,28.98,86.79,50.3,64.02,37.94,46.4,33.1,62.55,61.08,64.6,10.8,15.26,28.23,88.65,51.22,74.23,48.4,48.92
mc1_l14_224_2.5b,continuous,34.1,60.23,60.09,65.8,12.6,11.37,29.32,85.47,47.05,63.04,37.85,46.08,36.9,66.8,61.34,63.5,12.2,13.07,29.38,81.04,51.73,72.73,47.87,48.78
mc1_l14_224_400m,continuous,32.7,57.53,58.43,65.6,12,11.35,27.07,85.81,48.58,67.63,38.04,45.89,33.8,62.16,61.16,62.6,11.4,13.72,28.16,79.71,50.3,70.94,43.9,47.08
mc2_b16_384,continuous,32.7,55.98,58.06,62.8,11.8,14.55,28.86,77.97,47.26,63.44,33.8,44.29,33.3,61,59.22,63.6,11.7,14.31,30.93,82.39,51.02,67.51,40.4,46.85
mc1_b16_224_400m,continuous,34,57.53,57.91,65.1,12,11.21,23.76,85.13,48.78,58.09,31.04,44.05,34.6,57.14,58.2,63.9,11.1,11.69,22.61,86.83,49.29,62.82,34.45,44.78
mc1_b16_224_2.5b,continuous,33.2,54.83,55.86,62.8,11.5,10.71,23.13,82.14,49.39,63.61,35.68,43.9,33.1,62.55,59.85,62.8,10.8,11.84,25.07,78.96,50.3,61.13,35.75,44.74
mc2_b16_224,continuous,33.8,57.14,57.02,62.3,10.6,11.42,26.23,83.47,47.46,58.59,32.08,43.65,35.3,59.85,59.43,60.5,11.1,11.06,23.81,85.85,47.56,66.64,40.07,45.56
mc2_b32_384,continuous,32.9,55.21,55.04,64.6,11.2,10.44,20.35,84.27,47.56,62.28,33.24,43.37,33.9,57.53,57.42,62.7,10.7,11.57,20.97,76.26,46.34,61.37,35.02,43.07
mc2_m16_384,continuous,33,54.44,56.78,65.5,11.9,12.16,24.39,71.78,47.66,61.7,32.92,42.93,35.1,58.69,57.77,61.7,11.4,14.53,26.82,84.11,47.97,61.26,33.3,44.79
siglip2_b16_384,continuous,32.2,54.44,52.51,65,11.8,10.09,21.3,74.8,45.93,64.34,35.4,42.53,33.5,64.86,63.9,64.8,12.3,17.65,34.25,89.26,51.32,75.79,47.91,50.5
siglip2_b32_256,continuous,33,57.14,57.62,64.2,10.7,8.91,18.46,81.65,47.66,58.04,30.08,42.5,34.7,62.93,59.38,65.4,11.3,9.03,17.92,83.46,49.19,65.03,39.16,45.23
unitok_attn,discrete,33.5,50.58,56.01,65.1,12.5,9,16.84,80.48,47.15,53.66,31.42,41.48,,,,,,,,,,,,
