Tokenizer,Family,Probing,Retrieval,,,TokBench,,,Our_Probe,,Pretrain Loss,,Finetune Loss,,MLLM Avg Performance,,
,,ImageNet,ImageNet,MSCOCO-IR,MSCOCO-TR,T-ACC,T-NED,F-Sim,Full,Holdout,qwen3 1.7B,qwen2.5 1.5B,qwen3 1.7B,qwen2.5 1.5B,qwen3 1.7B,qwen2.5 1.5B,Avg
siglip2_g16_384,continuous,88.77,85,56.7,74.18,-,-,-,1,1.02,3.7763,2.3815,0.7126,0.701,54.56,54.25,54.41 
siglip2_sm14_384,continuous,88.09,84.1,56.94,73.06,-,-,-,-0.69,-0.68,3.8301,2.3977,0.7205,0.7053,54.06,54.49,54.28 
siglip2_sm16_512,continuous,,84.3,57.03,73.36,-,-,-,-0.18,-0.18,4.1669,2.4648,0.7266,0.7056,52.51,54.97,53.74 
siglip2_l16_384,continuous,87.42,83.2,55.81,73.4,-,-,-,-0.01,0,3.8329,2.4546,0.724,0.7111,52.56,53.01,52.79 
siglip2_g16_256,continuous,88.39,84.4,56.2,74.12,-,-,-,-0.29,1.02,4.0089,2.3646,0.7413,0.7238,51.02,53.87,52.45 
siglip2_sm16_384,continuous,88.01,84.2,56.86,73.22,-,-,-,-0.14,-0.14,3.8368,2.4322,0.7229,0.7078,51.75,53.12,52.44 
siglip2_sm14_224,continuous,87.5,83.2,55.91,73.04,-,-,-,-0.57,-0.5,3.827,2.3835,0.7467,0.7285,49.12,53.02,51.07 
siglip2_sm16_256,continuous,87.55,83.3,55.97,73.1,-,-,-,-0.82,-0.85,3.806,2.4024,0.7449,0.7288,49.12,51.4,50.26 
siglip2_l16_256,continuous,86.82,82.4,54.77,73.04,-,-,-,0.25,0.27,4.1582,2.4482,0.754,0.7317,49.09,50.76,49.93 
mc1_h14_224_v1.2,continuous,87.22,82,51.69,70.42,-,-,-,1.48,1.52,3.8769,2.4454,0.768,0.7454,48.67,51.16,49.92 
mc2_g14_378,continuous,88.05,83.5,51.3,69.14,-,-,-,1.09,1.12,4.1767,2.5671,0.7549,0.7136,47.08,52.56,49.82 
mc2_g14_224,continuous,87.46,82.6,49.54,67.76,-,-,-,1.49,1.54,4.0251,2.4549,0.7664,0.7447,48.84,50.77,49.81 
siglip2_b16_512,continuous,85.41,81.3,56.39,73.78,-,-,-,-0.71,-0.73,4.1384,2.5136,0.7376,0.7192,48.51,50.16,49.34 
clip_openai__l14,continuous,84.7,75.4,35.83,57.14,-,-,-,1.3,-0.38,3.9173,2.5431,0.7694,0.7511,47.83,49.76,48.80 
