Tokenizer,Family,MLLM Avg Performance,,,Probing,Retrieval,,,TokBench,,,Our_Probe,
,,qwen3 1.7B,qwen2.5 1.5B,Avg,ImageNet,ImageNet,MSCOCO-IR,MSCOCO-TR,T-ACC,T-NED,F-Sim,Full,Holdout
siglip2_g16_384,continuous,54.56,54.25,54.41 ,88.77,85,56.7,74.18,-,-,-,1,1.02
siglip2_sm14_384,continuous,54.06,54.49,54.28 ,88.09,84.1,56.94,73.06,-,-,-,-0.69,-0.68
siglip2_sm16_512,continuous,52.51,54.97,53.74 ,,84.3,57.03,73.36,-,-,-,-0.18,-0.18
siglip2_l16_384,continuous,52.56,53.01,52.79 ,87.42,83.2,55.81,73.4,-,-,-,-0.01,0
siglip2_g16_256,continuous,51.02,53.87,52.45 ,88.39,84.4,56.2,74.12,-,-,-,-0.29,1.02
siglip2_sm16_384,continuous,51.75,53.12,52.44 ,88.01,84.2,56.86,73.22,-,-,-,-0.14,-0.14
siglip2_sm14_224,continuous,49.12,53.02,51.07 ,87.5,83.2,55.91,73.04,-,-,-,-0.57,-0.5
siglip2_sm16_256,continuous,49.12,51.4,50.26 ,87.55,83.3,55.97,73.1,-,-,-,-0.82,-0.85
siglip2_l16_256,continuous,49.09,50.76,49.93 ,86.82,82.4,54.77,73.04,-,-,-,0.25,0.27
mc1_h14_224_v1.2,continuous,48.67,51.16,49.92 ,87.22,82,51.69,70.42,-,-,-,1.48,1.52
mc2_g14_378,continuous,47.08,52.56,49.82 ,88.05,83.5,51.3,69.14,-,-,-,1.09,1.12
mc2_g14_224,continuous,48.84,50.77,49.81 ,87.46,82.6,49.54,67.76,-,-,-,1.49,1.54
siglip2_b16_512,continuous,48.51,50.16,49.34 ,85.41,81.3,56.39,73.78,-,-,-,-0.71,-0.73
clip_openai__l14,continuous,47.83,49.76,48.80 ,84.7,75.4,35.83,57.14,-,-,-,1.3,-0.38
mc1_g14_224_2.5b,continuous,47.7,49.86,48.78 ,86.64,82.1,50.3,67.96,-,-,-,1.25,1.3
mc1_h14_224_2.5b,continuous,46.4,48.92,47.66 ,85.43,80.5,49.05,66.36,-,-,-,1.03,0.23
mc1_l14_224_2.5b,continuous,46.08,48.78,47.43 ,84.52,79.2,46.91,64.48,-,-,-,0.95,0.99
siglip2_b16_256,continuous,46.91,47.62,47.27 ,84.33,79.3,54.42,72.42,-,-,-,-0.65,-0.67
siglip2_b16_224,continuous,46.6,47.83,47.22 ,83.68,78.5,53.68,71.26,-,-,-,-0.83,-0.85
siglip2_l16_512,continuous,39.19,54.47,46.83 ,,83.5,56.22,73.38 ,-,-,-,0.28,0.29
siglip2_b16_384,continuous,42.53,50.5,46.52 ,85.12,80.6,55.79,73.52,-,-,-,-0.69,-0.69
mc1_l14_224_400m,continuous,45.89,47.08,46.49 ,83.35,76.2,42.43,60,-,-,-,0.9,0.74
mc2_h14_378,continuous,40.52,50.89,45.71 ,87.42,82.3,49.91,68.32,-,-,-,-0.22,-0.23
mc2_b16_384,continuous,44.29,46.85,45.57 ,82.46,73,39.74,58.28,-,-,-,0.38,0.41
mc2_l14_224,continuous,40.43,49.46,44.95 ,85.91,79.2,45.67,63.7,-,-,-,-0.28,0.99
mc2_b16_224,continuous,43.65,45.56,44.61 ,81.01,71.4,38.78,56.64,-,-,-,0.42,0.44
mc1_b16_224_400m,continuous,44.05,44.78,44.42 ,79.51,70.8,39.9,57.72,-,-,-,0.58,0.4
mc1_b16_224_2.5b,continuous,43.9,44.74,44.32 ,80.21,72.1,41.94,59.3,-,-,-,0.39,0.41
siglip2_b32_256,continuous,42.5,45.23,43.87 ,80.02,73.9,48.67,66.38,-,-,-,-,-
mc2_m16_384,continuous,42.93,44.79,43.86 ,79.26,68.4,37.17,56.94,-,-,-,0.05,0.09
mc2_b32_384,continuous,43.37,43.07,43.22 ,80.11,69.2,37.29,56.64,-,-,-,0.38,0.4
mc2_m16_224_mt5,continuous,40.42,43.25,41.84 ,77.62,67,35.46,53.46,-,-,-,-0.32,-0.34
mc2_s16_384,continuous,40.91,41.58,41.25 ,76.36,63.9,33.2,51.92,-,-,-,-0.2,-0.21
mc2_m16_224,continuous,38.76,43.34,41.05 ,77.58,66.4,35.98,55.76,-,-,-,-0.76,-0.78
mc2_s16_224,continuous,39.77,41.05,40.41 ,74.16,61.4,31.73,49.94,-,-,-,-0.52,-0.49
mc2_s16_224_mt5,continuous,39.12,41.35,40.24 ,72.02,55.8,28.42,44.04,-,-,-,-,-
mc2_b32_224,continuous,38.24,41.35,39.80 ,77.04,66.1,35.55,53.46,-,-,-,-,-
mc1_b32_224_2.5b,continuous,38.43,39.04,38.74 ,76.6,67.6,38.04,59.42,-,-,-,-0.91,-0.92
mc2_b32_224_mt5,continuous,35.39,41.62,38.51 ,77.04,66.6,36.03,52.1,-,-,-,-1.59,-1.62
mc1_b32_224_400m,continuous,34.69,37.63,36.16 ,75.59,65.6,36.3,53.18,-,-,-,-,-
unitok_attn,discrete,41.48,,20.74 ,80.42,76.8,35.86,54.5,44.6,65.87,0.35,-,-
vilau_256,discrete,39.45,,19.73 ,83.48,72.7,24.91,31.33,5.76,16.97,0.16,-0.58,-0.2
toklip_s_256,discrete,39.02,,19.51 ,79.41,76.3,48.42,64.02,4.77,15.54,0.15,-0.63,-0.63
toklip_l_384,discrete,38.23,,19.12 ,82.61,80,52.89,68.1,4.77,15.54,0.15,-1.03,(1.04)
I-JEPA,continuous,36.56,,18.28 ,77.76,62.5,41.48 ,41.48 ,-,-,-,-1.55,-0.79
raev2,continuous,33.52,,16.76 ,85.38,76.8,52.67 ,52.67 ,15.68,35.05,0.34,-,-
dinov3,continuous,,,0.00 ,85.52,77.3,52.46 ,52.46 ,-,-,-,-,-
