tokenizer,visual_token_type,model_family,probe_final,probe_history_status,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,qwen3_avg_reported,qwen3_avg_recomputed_from_tasks,qwen25_avg_reported,qwen25_avg_recomputed_from_tasks,mllm_avg_reported_raw,mllm_avg_fair,mllm_status,in_primary_n38,in_qwen3_max_n44,in_epoch_combined_n29,primary_status_or_exclusion
siglip2_g16_384,continuous,SigLIP2,88.77,final_only,,,,,,,,,,,54.56,54.563636,54.25,54.253636,54.41,54.405,both_complete,1,1,0,included
siglip2_sm14_384,continuous,SigLIP2,88.09,full_10_epoch,86.58,87.15,87.37,87.62,87.68,87.83,87.83,87.98,88.06,88.09,54.06,54.055455,54.49,54.49,54.28,54.275,both_complete,1,1,1,included
siglip2_sm16_512,continuous,SigLIP2,,missing_probe,,,,,,,,,,,52.51,52.507273,54.97,54.967273,53.74,53.74,both_complete,0,0,0,missing ImageNet probe
siglip2_l16_384,continuous,SigLIP2,87.42,full_10_epoch,85.82,86.26,86.64,86.92,86.95,87.13,87.27,87.32,87.39,87.42,52.56,52.558182,53.01,53.009091,52.79,52.785,both_complete,1,1,1,included
siglip2_g16_256,continuous,SigLIP2,88.39,final_only,,,,,,,,,,,51.02,51.018182,53.87,53.865455,52.45,52.445,both_complete,1,1,0,included
siglip2_sm16_384,continuous,SigLIP2,88.01,full_10_epoch,86.32,86.83,87.19,87.49,87.55,87.62,87.8,87.9,88,88.01,51.75,51.751818,53.12,53.118182,52.44,52.435,both_complete,1,1,1,included
siglip2_sm14_224,continuous,SigLIP2,87.5,full_10_epoch,85.94,86.37,86.77,86.99,87.04,87.29,87.32,87.47,87.51,87.5,49.12,49.115455,53.02,53.020909,51.07,51.07,both_complete,1,1,1,included
siglip2_sm16_256,continuous,SigLIP2,87.55,full_10_epoch,86.03,86.5,86.78,87.01,87.11,87.28,87.37,87.48,87.49,87.55,49.12,49.12,51.4,51.404545,50.26,50.26,both_complete,1,1,1,included
siglip2_l16_256,continuous,SigLIP2,86.82,full_10_epoch,85.16,85.67,85.98,86.27,86.31,86.48,86.69,86.69,86.89,86.82,49.09,49.093636,50.76,50.758182,49.93,49.925,both_complete,1,1,1,included
mc1_h14_224_v1.2,continuous,MetaCLIP1,87.22,full_10_epoch,85.64,86.22,86.63,86.82,86.84,87.02,87.06,87.14,87.18,87.22,48.67,48.671818,51.16,51.16,49.92,49.915,both_complete,1,1,1,included
mc2_g14_378,continuous,MetaCLIP2,88.05,final_only,,,,,,,,,,,47.08,47.076364,52.56,52.563636,49.82,49.82,both_complete,1,1,0,included
mc2_g14_224,continuous,MetaCLIP2,87.46,full_10_epoch,85.72,86.16,86.42,86.81,86.98,87.18,87.23,87.34,87.4,87.46,48.84,48.842727,50.77,50.770909,49.81,49.805,both_complete,1,1,1,included
siglip2_b16_512,continuous,SigLIP2,85.41,full_10_epoch,83.13,83.99,84.42,84.74,84.83,85.19,85.24,85.32,85.45,85.41,48.51,48.509091,50.16,50.164545,49.34,49.335,both_complete,1,1,1,included
clip_openai__l14,continuous,OpenAI CLIP,84.7,full_10_epoch,82.49,83.31,83.78,84.13,84.14,84.52,84.62,84.66,84.71,84.7,47.83,47.828182,49.76,49.758182,48.8,48.795,both_complete,1,1,1,included
mc1_g14_224_2.5b,continuous,MetaCLIP1,86.64,full_10_epoch,85.13,85.56,85.88,86.12,86.17,86.39,86.5,86.58,86.63,86.64,47.7,47.700909,49.86,49.864545,48.78,48.78,both_complete,1,1,1,included
mc1_h14_224_2.5b,continuous,MetaCLIP1,85.43,full_10_epoch,83.77,84.2,84.69,84.91,85.01,85.13,85.3,85.35,85.41,85.43,46.4,46.398182,48.92,48.92,47.66,47.66,both_complete,1,1,1,included
mc1_l14_224_2.5b,continuous,MetaCLIP1,84.52,full_10_epoch,82.6,83.01,83.51,83.79,83.95,84.11,84.3,84.48,84.51,84.52,46.08,46.083636,48.78,48.778182,47.43,47.43,both_complete,1,1,1,included
