comparison_type,pair_label,model_family,baseline_tokenizer,changed_tokenizer,baseline_probe,changed_probe,delta_probe,baseline_mllm_avg,changed_mllm_avg,delta_mllm_avg
resolution,SigLIP2 b16 224→512,SigLIP2,siglip2_b16_224,siglip2_b16_512,83.68,85.41,1.73,47.215,49.335,2.12
resolution,SigLIP2 sm14 224→384,SigLIP2,siglip2_sm14_224,siglip2_sm14_384,87.5,88.09,0.59,51.07,54.275,3.205
resolution,SigLIP2 sm16 256→384,SigLIP2,siglip2_sm16_256,siglip2_sm16_384,87.55,88.01,0.46,50.26,52.435,2.175
resolution,SigLIP2 l16 256→384,SigLIP2,siglip2_l16_256,siglip2_l16_384,86.82,87.42,0.6,49.925,52.785,2.86
resolution,SigLIP2 g16 256→384,SigLIP2,siglip2_g16_256,siglip2_g16_384,88.39,88.77,0.38,52.445,54.405,1.96
resolution,MetaCLIP2 g14 224→378,MetaCLIP2,mc2_g14_224,mc2_g14_378,87.46,88.05,0.59,49.805,49.82,0.015
resolution,MetaCLIP2 b16 224→384,MetaCLIP2,mc2_b16_224,mc2_b16_384,81.01,82.46,1.45,44.605,45.57,0.965
resolution,MetaCLIP2 b32 224→384,MetaCLIP2,mc2_b32_224,mc2_b32_384,77.04,80.11,3.07,39.795,43.22,3.425
resolution,MetaCLIP2 m16 224→384,MetaCLIP2,mc2_m16_224,mc2_m16_384,77.58,79.26,1.68,41.05,43.86,2.81
resolution,MetaCLIP2 s16 224→384,MetaCLIP2,mc2_s16_224,mc2_s16_384,74.16,76.36,2.2,40.41,41.245,0.835
pretraining_scale,MetaCLIP1 b32 400m→2.5b,MetaCLIP1,mc1_b32_224_400m,mc1_b32_224_2.5b,75.59,76.6,1.01,36.16,38.735,2.575
pretraining_scale,MetaCLIP1 b16 400m→2.5b,MetaCLIP1,mc1_b16_224_400m,mc1_b16_224_2.5b,79.51,80.21,0.7,44.415,44.32,-0.095
pretraining_scale,MetaCLIP1 l14 400m→2.5b,MetaCLIP1,mc1_l14_224_400m,mc1_l14_224_2.5b,83.35,84.52,1.17,46.485,47.43,0.945
mt5_variant,MetaCLIP2 s16 base→mt5,MetaCLIP2,mc2_s16_224,mc2_s16_224_mt5,74.16,72.02,-2.14,40.41,40.235,-0.175
mt5_variant,MetaCLIP2 m16 base→mt5,MetaCLIP2,mc2_m16_224,mc2_m16_224_mt5,77.58,77.62,0.04,41.05,41.835,0.785
mt5_variant,MetaCLIP2 b32 base→mt5,MetaCLIP2,mc2_b32_224,mc2_b32_224_mt5,77.04,77.04,0,39.795,38.505,-1.29
