analysis,target,n,spearman_rho,spearman_ci_low,spearman_ci_high,spearman_p_asymptotic,spearman_p_permutation,pearson_r,pearson_p,kendall_tau_b,kendall_p,note
Primary: fair two-backbone avg,mllm_avg_fair,45,0.81112063,0.60894935,0.93136159,1.4208377e-11,1.99996e-05,0.72092311,2.3345736e-08,0.66936334,9.3864995e-11,Maximum fair coverage: probe plus both reported backbone averages.
Qwen3 Avg (matched primary),qwen3_avg_reported,45,0.73887407,0.52224556,0.88289496,6.8304516e-09,1.99996e-05,0.63798115,2.4272992e-06,0.59382911,9.2988692e-09,Same tokenizer cohort as the primary result.
Qwen2.5 Avg (matched primary),qwen25_avg_reported,45,0.83305333,0.63296127,0.95573328,1.2633792e-12,1.99996e-05,0.77373718,4.6040003e-10,0.71320191,5.2916366e-12,Same tokenizer cohort as the primary result.
Primary excluding I-JEPA,mllm_avg_fair,44,0.81302418,0.60847927,0.93625586,2.0261346e-11,1.99996e-05,0.71120826,6.2833854e-08,0.67513265,1.0925303e-10,Sensitivity to I-JEPA's reported Avg/task-mean inconsistency.
Primary using task-recomputed averages,mllm_avg_tasks_recomputed,45,0.8101983,0.60784788,0.93107893,1.5621949e-11,1.99996e-05,0.72069704,2.369557e-08,0.66734109,1.0683491e-10,Both backbone averages recomputed from their 11 detailed task cells.
Primary continuous only,mllm_avg_fair,41,0.83387055,0.63764573,0.95360743,1.2953726e-11,1.99996e-05,0.73047779,5.915843e-08,0.70818124,7.2522238e-11,
Primary discrete only,mllm_avg_fair,4,0.2,-1,1,0.8,0.91686166,-0.11464525,0.88535475,0,1,Exploratory: only four discrete tokenizers.
CLIP-like benchmark families,mllm_avg_fair,38,0.94429854,0.86826184,0.97607058,5.8562253e-19,1.99996e-05,0.92181135,2.1752663e-16,0.82193816,4.0125893e-13,Like-for-like sensitivity matching the families represented in the former n=38 complete-case cohort.
Primary excluding DINOv3,mllm_avg_fair,44,0.86616393,0.71165648,0.94660579,3.1252427e-14,1.99996e-05,0.80676405,3.7897571e-11,0.71746072,6.9747521e-12,Diagnostic only; DINOv3 is valid and remains in the primary analysis.
Primary excluding RAE-v2,mllm_avg_fair,44,0.85756572,0.69048897,0.945359,1.05855e-13,1.99996e-05,0.78245049,3.5343525e-10,0.71322791,9.250296e-12,Diagnostic only; RAE-v2 is valid and remains in the primary analysis.
Two-Qwen Avg (full 10-epoch histories),mllm_avg_fair,33,0.90348459,0.78549784,0.96078448,6.1402229e-13,1.99996e-05,0.87036273,4.6892104e-11,0.75639844,6.288957e-10,All tokenizers with complete ten-epoch histories and both MLLM averages.
Two-Qwen Avg (final-only probing),mllm_avg_fair,12,0.61296066,-0.057765121,0.97849462,0.034067332,0.037579248,0.55131527,0.063163207,0.50383147,0.023314996,Final probe exists in the main table but earlier epochs are unavailable.
Qwen3 Avg (discrete only),qwen3_avg_reported,4,0,-1,1,1,1,-0.33660323,0.66339677,0,1,Exploratory.
Qwen2.5 Avg (discrete only),qwen25_avg_reported,4,-0.2,-1,1,0.8,0.91710166,0.14647752,0.85352248,0,1,Exploratory.
