epoch,n_all_histories,mean_accuracy,median_accuracy,rank_stability_vs_epoch10_n33,spearman_vs_qwen3_avg_n33,p_vs_qwen3_avg_n33,n_fair_mllm_avg,spearman_vs_qwen3_avg_matched_n29,p_vs_qwen3_avg_matched_n29,spearman_vs_qwen25_avg_n29,p_vs_qwen25_avg_n29,spearman_vs_fair_mllm_avg_n29,p_vs_fair_mllm_avg_n29
1,33,79.840909,81.44,0.97468037,0.85869475,1.6387868e-10,29,0.85035103,5.2299342e-09,0.97783251,7.1948212e-20,0.92068966,1.5243891e-12
2,33,80.650303,82.11,0.98320381,0.86086739,1.3093915e-10,29,0.86143614,1.9823071e-09,0.9817734,5.2411035e-21,0.92955665,3.2445295e-13
3,33,81.204242,82.49,0.98420657,0.85150832,3.3553392e-10,29,0.84567066,7.6981664e-09,0.97783251,7.1948212e-20,0.91871921,2.0980631e-12
4,33,81.608788,82.89,0.99164299,0.84940665,4.1085217e-10,29,0.85626309,3.1487365e-09,0.97980296,2.0713788e-20,0.92610837,6.0582639e-13
5,33,81.73697,82.95,0.99623966,0.85117406,3.4658811e-10,29,0.86685553,1.196241e-09,0.9773399,9.65216e-20,0.93152709,2.2384689e-13
6,33,82.02,83.24,0.99607254,0.83914097,1.0592193e-09,29,0.86143614,1.9823071e-09,0.98029557,1.4884809e-20,0.92857143,3.8905727e-13
7,33,82.25,83.34,0.99816146,0.84857095,4.449275e-10,29,0.87484602,5.4495512e-10,0.98164799,5.7451904e-21,0.93952458,4.3909845e-14
8,33,82.434545,83.39,0.9984123,0.83646695,1.3410528e-09,29,0.85897279,2.4765994e-09,0.97783251,7.1948212e-20,0.92660099,5.5515883e-13
9,33,82.541818,83.57,0.99899716,0.84589671,5.7233092e-10,29,0.87607785,4.8046385e-10,0.98016998,1.6205877e-20,0.93853924,5.4295096e-14
10,33,82.591515,83.68,1,0.84054822,9.3393595e-10,29,0.87361419,6.1729234e-10,0.97770662,7.7606983e-20,0.93656855,8.2163775e-14
