analysis,target,n,spearman_rho,spearman_ci_low,spearman_ci_high,spearman_p_asymptotic,spearman_p_permutation,pearson_r,pearson_p,kendall_tau_b,kendall_p,note
Raw mean across task cells,_agg_raw_task_mean,45,0.8101983,0.60421766,0.93136696,1.5621949e-11,1.99996e-05,0.72069704,2.369557e-08,0.66734109,1.0683491e-10,Same n=45 cohort; recomputed from 22 detailed cells.
Mean after per-task z-scoring,_agg_mean_task_z,45,0.81685223,0.61616414,0.93691064,7.7884664e-12,1.99996e-05,0.70752496,5.5026811e-08,0.67543007,6.3518224e-11,Removes task scale and variance differences.
Mean of within-task ranks,_agg_mean_task_rank,45,0.8068384,0.60770123,0.92769049,2.1974639e-11,1.99996e-05,0.75949151,1.4637322e-09,0.65520762,2.3043739e-10,Uses only each task's tokenizer ordering.
Median after per-task z-scoring,_agg_median_task_z,45,0.80005271,0.59197673,0.92376291,4.291454e-11,1.99996e-05,0.70915653,4.9697912e-08,0.64914088,3.3672614e-10,Robust aggregation across all task cells.
Leave out Qwen3/MMMU,_agg_leave_0,45,0.80914421,0.60901474,0.92928177,1.7399553e-11,1.99996e-05,0.72392274,1.9138215e-08,0.66127435,1.571684e-10,One of 22 task cells removed.
Leave out Qwen3/MMBench,_agg_leave_1,45,0.81204296,0.61439611,0.93169894,1.2916032e-11,1.99996e-05,0.72964862,1.3002038e-08,0.66531884,1.2155139e-10,One of 22 task cells removed.
Leave out Qwen3/VQAv2,_agg_leave_2,45,0.81303116,0.61153552,0.93248099,1.1654772e-11,1.99996e-05,0.72436897,1.8576616e-08,0.66734109,1.0683491e-10,One of 22 task cells removed.
Leave out Qwen3/ScienceQA,_agg_leave_3,45,0.81349233,0.61275307,0.93537967,1.1106795e-11,1.99996e-05,0.72506051,1.773667e-08,0.67543007,6.3518224e-11,One of 22 task cells removed.
Leave out Qwen3/ChartQA,_agg_leave_4,45,0.81033006,0.60828312,0.93264078,1.5412195e-11,1.99996e-05,0.72180329,2.2029165e-08,0.66936334,9.3864995e-11,One of 22 task cells removed.
Leave out Qwen3/DocVQA,_agg_leave_5,45,0.81072535,0.607865,0.93126027,1.479875e-11,1.99996e-05,0.72005486,2.4716258e-08,0.66936334,9.3864995e-11,One of 22 task cells removed.
Leave out Qwen3/TextVQA,_agg_leave_6,45,0.81652283,0.6178467,0.93739114,8.0668066e-12,1.99996e-05,0.72119947,2.2924644e-08,0.67947456,4.8866809e-11,One of 22 task cells removed.
Leave out Qwen3/POPE,_agg_leave_7,45,0.8068384,0.60412434,0.93132621,2.1974639e-11,1.99996e-05,0.72044717,2.4087936e-08,0.6632966,1.3824325e-10,One of 22 task cells removed.
Leave out Qwen3/GQA,_agg_leave_8,45,0.81065947,0.61547165,0.93087429,1.4899366e-11,1.99996e-05,0.72347858,1.9712927e-08,0.66936334,9.3864995e-11,One of 22 task cells removed.
Leave out Qwen3/COCO,_agg_leave_9,45,0.80960538,0.60258434,0.93318945,1.6599591e-11,1.99996e-05,0.73060135,1.2180549e-08,0.66936334,9.3864995e-11,One of 22 task cells removed.
Leave out Qwen3/Flickr,_agg_leave_10,45,0.81000066,0.60379515,0.93110276,1.5941632e-11,1.99996e-05,0.72177534,2.2069879e-08,0.66531884,1.2155139e-10,One of 22 task cells removed.
Leave out Qwen2.5/MMMU,_agg_leave_11,45,0.8095395,0.6140772,0.93042993,1.6711709e-11,1.99996e-05,0.72059193,2.3859898e-08,0.6632966,1.3824325e-10,One of 22 task cells removed.
Leave out Qwen2.5/MMBench,_agg_leave_12,45,0.80973714,0.61381519,0.93029518,1.6377478e-11,1.99996e-05,0.72257908,2.0926621e-08,0.65925211,1.7861742e-10,One of 22 task cells removed.
Leave out Qwen2.5/VQAv2,_agg_leave_13,45,0.8044667,0.60028867,0.92697284,2.7848473e-11,1.99996e-05,0.71823218,2.7841592e-08,0.65520762,2.3043739e-10,One of 22 task cells removed.
Leave out Qwen2.5/ScienceQA,_agg_leave_14,45,0.8074972,0.60880684,0.92748749,2.0563329e-11,1.99996e-05,0.71774738,2.8733019e-08,0.65925211,1.7861742e-10,One of 22 task cells removed.
Leave out Qwen2.5/ChartQA,_agg_leave_15,45,0.80993478,0.60869365,0.93347424,1.6049557e-11,1.99996e-05,0.71967449,2.5340052e-08,0.66734109,1.0683491e-10,One of 22 task cells removed.
Leave out Qwen2.5/DocVQA,_agg_leave_16,45,0.80881481,0.60897358,0.92953978,1.7993055e-11,1.99996e-05,0.7161463,3.1870127e-08,0.66531884,1.2155139e-10,One of 22 task cells removed.
Leave out Qwen2.5/TextVQA,_agg_leave_17,45,0.81079123,0.60714495,0.931076,1.4698774e-11,1.99996e-05,0.71229358,4.0779049e-08,0.66531884,1.2155139e-10,One of 22 task cells removed.
Leave out Qwen2.5/POPE,_agg_leave_18,45,0.8041373,0.60416646,0.92510741,2.8772645e-11,1.99996e-05,0.71737929,2.9427561e-08,0.65520762,2.3043739e-10,One of 22 task cells removed.
Leave out Qwen2.5/GQA,_agg_leave_19,45,0.80743132,0.60995487,0.92737392,2.0700518e-11,1.99996e-05,0.72139416,2.2632262e-08,0.65925211,1.7861742e-10,One of 22 task cells removed.
Leave out Qwen2.5/COCO,_agg_leave_20,45,0.80400554,0.60222444,0.92797682,2.9150343e-11,1.99996e-05,0.71295318,3.9104946e-08,0.65925211,1.7861742e-10,One of 22 task cells removed.
Leave out Qwen2.5/Flickr,_agg_leave_21,45,0.7990645,0.59870627,0.92203966,4.7207724e-11,1.99996e-05,0.708658,5.1272708e-08,0.64711863,3.8182081e-10,One of 22 task cells removed.
