backbone,task,max_n,max_spearman_rho,max_ci_low,max_ci_high,max_p,max_q_bh,matched_n,matched_spearman_rho,matched_p,note
Qwen3-1.7B,MMMU,45,0.19575399,-0.076735911,0.44407503,0.19749714,0.19749714,45,0.19575399,0.19749714,
Qwen3-1.7B,MMBench,45,0.67521346,0.44712133,0.82815376,3.6244215e-07,5.6955195e-07,45,0.67521346,3.6244215e-07,
Qwen3-1.7B,VQAv2,45,0.68067725,0.43154834,0.85516527,2.679354e-07,4.9121491e-07,45,0.68067725,2.679354e-07,
Qwen3-1.7B,ScienceQA,44,0.32510754,0.016465115,0.58524957,0.031294202,0.032784402,44,0.32510754,0.031294202,I-JEPA excluded because its Qwen3 task mean conflicts with the reported Avg and ScienceQA duplicates VQAv2
Qwen3-1.7B,ChartQA,45,0.46927152,0.19109833,0.6868855,0.0011464761,0.0013274986,45,0.46927152,0.0011464761,
Qwen3-1.7B,DocVQA,45,0.67349628,0.43358843,0.83592459,3.9802404e-07,5.7466135e-07,45,0.67349628,3.9802404e-07,
Qwen3-1.7B,TextVQA,45,0.6788326,0.42749043,0.84979407,2.9691877e-07,5.0247791e-07,45,0.6788326,2.9691877e-07,
Qwen3-1.7B,POPE,45,0.63884314,0.40668634,0.80425539,2.3294098e-06,2.8470564e-06,45,0.63884314,2.3294098e-06,
Qwen3-1.7B,GQA,45,0.67259669,0.43107124,0.83750779,4.1793552e-07,5.7466135e-07,45,0.67259669,4.1793552e-07,
Qwen3-1.7B,COCO,45,0.74405429,0.53810217,0.87447285,4.7024111e-09,1.2931631e-08,45,0.74405429,4.7024111e-09,
Qwen3-1.7B,Flickr,45,0.76184202,0.56211553,0.89010906,1.2161236e-09,3.8221028e-09,45,0.76184202,1.2161236e-09,
Qwen2.5-1.5B,MMMU,45,0.32974926,0.036503062,0.56995515,0.02696278,0.029659058,45,0.32974926,0.02696278,
Qwen2.5-1.5B,MMBench,45,0.73726736,0.5552072,0.85817687,7.6554134e-09,1.6841909e-08,45,0.73726736,7.6554134e-09,
Qwen2.5-1.5B,VQAv2,45,0.83411292,0.64796033,0.93893341,1.1141909e-12,1.22561e-11,45,0.83411292,1.1141909e-12,
Qwen2.5-1.5B,ScienceQA,45,0.64821047,0.41115203,0.81385504,1.4769248e-06,1.9113145e-06,45,0.64821047,1.4769248e-06,
Qwen2.5-1.5B,ChartQA,45,0.71405527,0.50875584,0.84236063,3.6450295e-08,7.2900591e-08,45,0.71405527,3.6450295e-08,
Qwen2.5-1.5B,DocVQA,45,0.774846,0.57909971,0.88742967,4.1929639e-10,1.8449041e-09,45,0.774846,4.1929639e-10,
Qwen2.5-1.5B,TextVQA,45,0.80710192,0.61564709,0.91849143,2.1399499e-11,1.5692966e-10,45,0.80710192,2.1399499e-11,
Qwen2.5-1.5B,POPE,45,0.73880818,0.53821521,0.86157816,6.8625732e-09,1.6775179e-08,45,0.73880818,6.8625732e-09,
Qwen2.5-1.5B,GQA,45,0.77089661,0.55629267,0.90084643,5.8364659e-10,2.1400375e-09,45,0.77089661,5.8364659e-10,
Qwen2.5-1.5B,COCO,45,0.80183148,0.61134056,0.9248489,3.6098318e-11,1.9854075e-10,45,0.80183148,3.6098318e-11,
Qwen2.5-1.5B,Flickr,45,0.84692163,0.65948024,0.96378353,2.2667264e-13,4.9867982e-12,45,0.84692163,2.2667264e-13,
Two-Qwen task mean,MMMU,45,0.40055371,0.12531386,0.61625788,0.0063994388,,45,0.40055371,0.0063994388,Descriptive aggregate; excluded from backbone-specific BH tests.
Two-Qwen task mean,MMBench,45,0.7429494,0.53946362,0.86588257,5.0959154e-09,,45,0.7429494,5.0959154e-09,Descriptive aggregate; excluded from backbone-specific BH tests.
Two-Qwen task mean,VQAv2,45,0.7727123,0.55521836,0.9074555,5.0173362e-10,,45,0.7727123,5.0173362e-10,Descriptive aggregate; excluded from backbone-specific BH tests.
Two-Qwen task mean,ScienceQA,44,0.5653201,0.30135745,0.75910317,6.3775264e-05,,44,0.5653201,6.3775264e-05,I-JEPA excluded because the Qwen3 ScienceQA cell is under QC
Two-Qwen task mean,ChartQA,45,0.65341777,0.42324391,0.81130617,1.1387032e-06,,45,0.65341777,1.1387032e-06,Descriptive aggregate; excluded from backbone-specific BH tests.
Two-Qwen task mean,DocVQA,45,0.76902299,0.56445924,0.89004792,6.8123852e-10,,45,0.76902299,6.8123852e-10,Descriptive aggregate; excluded from backbone-specific BH tests.
Two-Qwen task mean,TextVQA,45,0.7561763,0.54312568,0.88743009,1.8942771e-09,,45,0.7561763,1.8942771e-09,Descriptive aggregate; excluded from backbone-specific BH tests.
Two-Qwen task mean,POPE,45,0.78549312,0.58431213,0.9081627,1.6615756e-10,,45,0.78549312,1.6615756e-10,Descriptive aggregate; excluded from backbone-specific BH tests.
Two-Qwen task mean,GQA,45,0.75188589,0.53554219,0.88924334,2.628876e-09,,45,0.75188589,2.628876e-09,Descriptive aggregate; excluded from backbone-specific BH tests.
Two-Qwen task mean,COCO,45,0.80064563,0.59778742,0.9183046,4.0518082e-11,,45,0.80064563,4.0518082e-11,Descriptive aggregate; excluded from backbone-specific BH tests.
Two-Qwen task mean,Flickr,45,0.82376968,0.62612394,0.94256326,3.6643888e-12,,45,0.82376968,3.6643888e-12,Descriptive aggregate; excluded from backbone-specific BH tests.
