# rank	vision_encoder	model	head
1	SigLIP2 So400m/14 (384)	siglip2_sm14_384	linear
2	SigLIP2 ViT-G/16 (384)	siglip2_g16_384	linear
3	SigLIP2 ViT-L/16 (384)	siglip2_l16_384	linear
4	SigLIP2 So400m/16 (512)	siglip2_sm16_512	linear
5	SigLIP2 So400m/16 (384)	siglip2_sm16_384	linear
6	SigLIP2 ViT-G/16 (256)	siglip2_g16_256	linear
7	MetaCLIP 2 ViT-G/14 (378)	mc2_g14_378	linear
8	SigLIP2 So400m/14 (224)	siglip2_sm14_224	linear
9	PE-Core-G/14 (448)	pe_core_g14_448	linear
10	SigLIP2 So400m/16 (256)	siglip2_sm16_256	linear
11	SigLIP2 ViT-L/16 (256)	siglip2_l16_256	linear
12	MetaCLIP ViT-G/14 (2.5B, 224)	mc1_g14_224_2.5b	linear
13	MetaCLIP 2 ViT-G/14 (224)	mc2_g14_224	linear
14	SigLIP2 ViT-B/16 (512)	siglip2_b16_512	linear
15	MetaCLIP ViT-H/14 (v1.2, 224)	mc1_h14_224_v1.2	linear
16	OpenAI CLIP ViT-L/14 (224)	clip_openai__l14	linear
17	MetaCLIP ViT-H/14 (2.5B, 224)	mc1_h14_224_2.5b	linear
18	MetaCLIP ViT-L/14 (2.5B, 224)	mc1_l14_224_2.5b	linear
19	SigLIP2 ViT-B/16 (256)	siglip2_b16_256	linear
20	SigLIP2 ViT-B/16 (224)	siglip2_b16_224	linear
21	MetaCLIP 2 ViT-L/14 (224)	mc2_l14_224	linear
22	PE-Lang-L/14 (448)	pe_lang_l14_448	linear
23	PE-Core-B/16 (224)	pe_core_b16_224	linear
24	MetaCLIP ViT-B/16 (400M, 224)	mc1_b16_224_400m	linear
25	MetaCLIP ViT-B/16 (2.5B, 224)	mc1_b16_224_2.5b	linear
26	Pixio ViT-L/16	pixio_vitl16	bn
27	DINOv2 ViT-G/14	dinov2_giant	linear
28	DINOv2 ViT-L/14	dinov2_large	linear
29	Pixio ViT-B/16	pixio_vitb16	bn
30	EUPE ViT-B	eupe_vit_b	linear
31	EUPE ViT-S	eupe_vit_s	linear
32	MetaCLIP 2 ViT-S/16 (224)	mc2_s16_224	linear
33	DINOv2 ViT-B/14	dinov2_base	linear
34	DINOv2 ViT-S/14	dinov2_small	linear
35	Pixio ViT-H/16	pixio_vith16	bn
36	I-JEPA ViT-H/14	ijepa	linear
37	DINO ViT-B/16	dinov1_vitb16	linear
38	Web-SSL MAE 3B (224)	webssl_mae3b_full2b_224	bn
39	EUPE ViT-T	eupe_vit_t	linear
40	DINO ViT-S/8	dinov1_vits8	linear
41	DINO ViT-B/8	dinov1_vitb8	linear
42	DINO ViT-S/16	dinov1_vits16	linear
