# order	requested id	linear_probe.py model id	head
1	mc1_b16_224_400m	mc1_b16_224_400m	linear
2	mc1_b32_224_2.5b	mc1_b32_224_2.5b	linear
3	mc1_b32_224_400m	mc1_b32_224_400m	linear
4	mc1_l14_224_400m	mc1_l14_224_400m	linear
5	mc2_b16_224	mc2_b16_224	linear
6	unitok_attn	unitok	linear
7	vilau_256	vilau	linear
8	toklip_s_256	toklip_s	linear
9	toklip_l_384	toklip_l	linear
10	uniar_bsq	uniar_bsq	linear
11	mc2_b16_384	mc2_b16_384	linear
12	mc2_b32_224	mc2_b32_224	linear
13	mc2_b32_224_mt5	mc2_b32_224_mt5	linear
14	mc2_b32_384	mc2_b32_384	linear
15	mc2_h14_378	mc2_h14_378	linear
16	mc2_m16_224	mc2_m16_224	linear
17	mc2_m16_224_mt5	mc2_m16_224_mt5	linear
18	mc2_m16_384	mc2_m16_384	linear
19	mc2_s16_224_mt5	mc2_s16_224_mt5	linear
20	mc2_s16_384	mc2_s16_384	linear
21	siglip2_b16_384	siglip2_b16_384	linear
22	siglip2_b32_256	siglip2_b32_256	linear
23	siglip2_l16_512	siglip2_l16_512	linear
