# rank	requested id	linear_probe.py model id	head
1	clip_openai__l14	clip_openai__l14	bn
2	dino_vitb16	dinov1_vitb16	bn
3	dino_vitb8	dinov1_vitb8	bn
4	dino_vits16	dinov1_vits16	bn
5	dino_vits8	dinov1_vits8	bn
6	dinov2_base	dinov2_base	bn
7	dinov2_giant	dinov2_giant	bn
8	dinov2_large	dinov2_large	bn
9	dinov2_small	dinov2_small	bn
10	dinov3_vitl16	dinov3_vitl16_lvd1689m	bn
11	toklip_l_384	toklip_l	bn
12	toklip_s_256	toklip_s	bn
13	uniar_bsq	uniar_bsq	bn
14	unitok_attn	unitok	bn
15	vilau_256	vilau	bn
16	eupe_convnext_b	eupe_convnext_b	bn
17	eupe_vit_b	eupe_vit_b	bn
18	eupe_vit_s	eupe_vit_s	bn
19	eupe_vit_t	eupe_vit_t	bn
20	ijepa_vith14	ijepa	bn
21	mc1_b16_224_2.5b	mc1_b16_224_2.5b	bn
22	mc1_b16_224_400m	mc1_b16_224_400m	bn
23	mc1_b32_224_2.5b	mc1_b32_224_2.5b	bn
24	mc1_b32_224_400m	mc1_b32_224_400m	bn
25	mc1_g14_224_2.5b	mc1_g14_224_2.5b	bn
26	mc1_h14_224_2.5b	mc1_h14_224_2.5b	bn
27	mc1_h14_224_v1.2	mc1_h14_224_v1.2	bn
28	mc1_l14_224_2.5b	mc1_l14_224_2.5b	bn
29	mc1_l14_224_400m	mc1_l14_224_400m	bn
30	mc2_b16_224	mc2_b16_224	bn
31	mc2_b16_384	mc2_b16_384	bn
32	mc2_b32_224	mc2_b32_224	bn
33	mc2_b32_224_mt5	mc2_b32_224_mt5	bn
34	mc2_b32_384	mc2_b32_384	bn
35	mc2_g14_224	mc2_g14_224	bn
36	mc2_g14_378	mc2_g14_378	bn
37	mc2_h14_378	mc2_h14_378	bn
38	mc2_l14_224	mc2_l14_224	bn
39	mc2_m16_224	mc2_m16_224	bn
40	mc2_m16_224_mt5	mc2_m16_224_mt5	bn
41	mc2_m16_384	mc2_m16_384	bn
42	mc2_s16_224	mc2_s16_224	bn
43	mc2_s16_224_mt5	mc2_s16_224_mt5	bn
44	mc2_s16_384	mc2_s16_384	bn
45	pe_core_b16_224	pe_core_b16_224	bn
46	pe_core_g14_448	pe_core_g14_448	bn
47	pe_lang_l14_448	pe_lang_l14_448	bn
48	pixio_vitb16	pixio_vitb16	bn
49	pixio_vith16	pixio_vith16	bn
50	pixio_vitl16	pixio_vitl16	bn
51	raev2_dinov3l_k7	raev2_dinov3l_k7	bn
52	siglip2_b16_224	siglip2_b16_224	bn
53	siglip2_b16_256	siglip2_b16_256	bn
54	siglip2_b16_384	siglip2_b16_384	bn
55	siglip2_b16_512	siglip2_b16_512	bn
56	siglip2_b32_256	siglip2_b32_256	bn
57	siglip2_g16_256	siglip2_g16_256	bn
58	siglip2_g16_384	siglip2_g16_384	bn
59	siglip2_l16_256	siglip2_l16_256	bn
60	siglip2_l16_384	siglip2_l16_384	bn
61	siglip2_l16_512	siglip2_l16_512	bn
62	siglip2_sm14_224	siglip2_sm14_224	bn
63	siglip2_sm14_384	siglip2_sm14_384	bn
64	siglip2_sm16_256	siglip2_sm16_256	bn
65	siglip2_sm16_384	siglip2_sm16_384	bn
66	siglip2_sm16_512	siglip2_sm16_512	bn
67	webssl_dino1b_full2b_224	webssl_dino1b_full2b_224	bn
68	webssl_mae1b_full2b_224	webssl_mae1b_full2b_224	bn
69	webssl_mae300m_full2b_224	webssl_mae300m_full2b_224	bn
70	webssl_mae3b_full2b_224	webssl_mae3b_full2b_224	bn
